	0
prized_pet_parrot_native_to_jungles_of_miznia	1
guy	2
encyclopedia	3
door	4
member	5
magic	6
old	7
kind	8
Helistar's_Quarters	9
chamber	10
your_chamber	11
white	12
exit	13
wide	14
are_now_very_hungry.	15
affixed	16
gaspar	17
basement_of_guild_hall	18
they	19
c	20
corner	21
friendly_wave	22
southwest	23
young_apprentices	24
izyuk	25
calendar_(providing_light)	26
squawk_belboz	27
It_is_pitch_black._Dangerous_creatures,_such_as_grues,_probably_abound_in_the_darkness.	28
5_of_possible_400_in_72_moves	29
round_room_with_ceiling	30
issue_of_popular_enchanting	31
perch	32
helistar_'s_possessions	33
button	34
trunk	35
You_have_died_****	36
bright	37
jungles	38
doddering_old_enchanter	39
cobwebs	40
tiny_box	41
branch	42
creatures	43
exit_to_south	44
issue_of_Popular_Enchanting	45
revealing	46
appointed	47
meadow	48
Chamber_of_the_Circle	49
floating	50
belboz_'s_prized_pet_parrot_native	51
road_into_town	52
large_round_room	53
do	54
crack	55
end	56
castle	57
quarters	58
bed	59
east_from_north	60
thirsty	61
dust	62
trees	63
silently_box_swings_open	64
antharian	65
life	66
belboz_'s_prized_pet_parrot_native_to_jungles_of_miznia	67
bloody	68
Tree_Branch	69
grues	70
box	71
beautiful_wall_hanging	72
ruins_of_ancient_castle	73
edge_of_forest	74
their_hiding_places	75
are_now_extremely_thirsty.	76
cracker_squawk_box_swings_open	77
vezza	78
hole	79
center	80
exit_to_southwest	81
cold_sweat	82
rooms	83
squawk_tea	84
pet	85
forest	86
room_with_ceiling	87
blinding_flash	88
time	89
Library	90
itself	91
library_this	92
book	93
large_room	94
pit	95
open	96
exit_to_northeast	97
lettering	98
spills	99
snake	100
archway	101
sickly_light	102
now_quite_thirsty	103
sorcerer	104
note	105
southeast	106
direction	107
now_your_feet	108
Servants'_Quarters	109
score_is_5_of_a_possible_400,_in_72_moves._This_puts_you_in_the_class_of_Charlatan.	110
your_ear	111
wall	112
old_enchanter	113
domed_ceiling	114
are_now_somewhat_hungry.	115
entrance_lobby	116
i	117
enchanters	118
round_room	119
woven_wall_hanging	120
dull_kind	121
point	122
large_hall	123
darkness	124
west	125
krill	126
gnusto	127
enchanter	128
study_chamber_for_members_of_guild	129
exit_to_north	130
darkwood_desk	131
circle	132
exit_to_northwest	133
hallway	134
issue_of_popular_enchanting_lobby	135
engraved	136
field	137
frobar_'s_quarters	138
place	139
belboz_'s_pet_parrot_native	140
yellow_light	141
furnished	142
he_gives_a_friendly_wave_before_departing.	143
receptacle_swings	144
you	145
belboz_'s_pet_parrot_native_to_jungles	146
guild_'s_young_apprentices	147
tiny	148
lying	149
now_extremely_thirsty	150
large_room_with_ceiling	151
wave	152
heavy_wooden_door	153
edge	154
Cellar	155
lack_of_food	156
Twisted_Forest	157
great	158
beautiful_woven_wall_hanging	159
exit_to_down	160
have_lax_lately	161
artisans_gurth	162
score_is_5_of_a_possible_400,_in_73_moves._This_puts_you_in_the_class_of_Charlatan.	163
score_is_5_of_a_possible_400,_in_78_moves._This_puts_you_in_the_class_of_Charlatan.	164
large_gnarled_branch_of_old_tree	165
alive	166
air	167
belboz_'s_pet_parrot	168
room	169
beautiful	170
round_room_with_high_ceiling	171
scribbled	172
light_spills	173
calendar	174
southern_arch	175
you_made_no_provisions_for_your_untimely_death.	176
personal_chamber_wide_darkwood_desk	177
large_room_with_domed_ceiling	178
score_is_5_of_a_possible_400,_in_74_moves._This_puts_you_in_the_class_of_Charlatan.	179
scribbled_note	180
cracker_squawk	181
southernmost_point	182
woods	183
point_of_perimeter	184
Belboz's_Quarters	185
sickly_yellow_light	186
infotater	187
gray	188
prized	189
arch	190
session_of_game	191
something	192
hall_of_guild_of_enchanters	193
sight	194
are_now_incredibly_thirsty.	195
large_marble_archway	196
vezza_spell	197
