	0
she	1
only_large_elliptical_window	2
They_were_planning_to_win_their_war_with_it."	3
large_window	4
ellipsoidal_room	5
wall	6
Yi_Lono_Mordel_Control_Room	7
cheryl	8
sure	9
says,_"This_is_our_chance_to_make_a_difference,_Tolan._But_only_if_we_do_it_according_to_my_rules._You're_going_to_see	10
says,_"So_I_guess_I'll_finally_make_it_into_the_history_books_by_doing_it_for_them."	11
only_large_window	12
me	13
And,_since_I'm_no_mechanist,_I've_got_this--just_so_I_can_keep_tabs_on_you."_She_shows_you_a_holographic_reproduction_of	14
room,_hovering_over_a_black_base._"There_are_sensors_for_movement,_electromagnetic_radiation,_and_I_don't_know_what_else,	15
we	16
featureless_wall	17
says,_"You_probably_never_realized_it,_Tolan,_but_the_Yi_had_a_somewhat_high_opinion_of_themselves._The_word_Yi_isn't	18
elliptical_window	19
their_name--it_means_'the_end'_or_'the_ultimate'._The_'Yi-Lono-Mordel'_isn't_'the_Yi's_Lono_weapon';_it's_'the_final_Lono	20
center	21
end	22
exit_to_up	23
says,_"Tolan,_my_superiors_don't_want_you_anywhere_near_here._If_they_find_out,_I'll_be_in_a_lot_of_trouble."	24
large_elliptical_window	25
they	26
white_wall	27
me_access	28
hovering	29
leader	30
pair_of_handcuffs_(being_worn)	31
circular	32
you	33
forms	34
featureless_white_wall	35
says,_"The_problem_is_with_the_Lono,_as_you_might_guess."	36
ceiling	37
says,_"Cooperation_will_payoff_in_the_end."	38
you_uncomfortable	39
you_uncomfortable_with_its_perfect_symmetry	40
says,_"If_I_manage_to_find_a_way_to_win_the_war,_they'll_forgive_me._But_I_can't_tell_them_about_it_yet._They_don't_trust	41
doorway	42
yi_lono_mordel_control_room	43
two_curves	44
with_your_help."	45
cooperation_will_payoff	46
tabs	47
black_base	48
window	49
sort_of_information_you_can_get_displayed._As_soon_as_you_bring_some_Yi_text_up,_you_stop._You_don't_touch_anything_until_I	50
yi	51
analyzing_this_room._This_little_display_lets_me_monitor_the_activity_everywhere_in_the_room_so_I_can_see_what_you're_up_to.	52
at_all._I_don't_really_trust_you._But_we've_worked_together,_so_I'm_sure_I_can_keep_you_under_control,_and_more_importantly,	53
only_elliptical_window	54
concave	55
sure_you_can_get_me_access._I_know_you_can_do_this._I_don't_know_if_anybody_else_could."	56
raised_slab	57
slab	58
same_proportions_as_ellipsoidal_room	59
you_holographic_reproduction_of_room	60
don't_think_you'll_get_away_with_anything."	61
activity	62
floor	63
up	64
says,_"As_you_asked,_the_guards_will_keep_their_distance_so_they_won't_disturb_your_concentration._It'll_just_be_you_and	65
curves	66
concave_floor	67
you_holographic_reproduction	68
pair	69
you_uncomfortable_with_its_symmetry	70
i	71
it's_ok_to_continue._Got_it?"	72
mordel	73
its_symmetry	74
see	75
slightly_concave_floor	76
cluster	77
hovering_over_base	78
this	79
you_reproduction_of_room	80
room	81
lono	82
says,_"They're_coming_back,_Tolan._Soon,_we_think._So_before_they_show_up,_I'm_going_to_have_found_a_way_to_put_an_end_to	83
you_reproduction	84
base	85
their_war	86
hovering_over_black_base	87
sighs._"Tolan,_do_you_have_any_idea_how_important_it_is_we_figure_this_place_out,_once_and_for_all?"	88
two_swept_curves	89
says,_"And_of_anyone,_I'm_the_only_one_who_will_be_able_to_make_heads_or_tails_out_of_whatever_information_you_can_dig	90
only_window	91
its_perfect_symmetry	92
i_can_see	93
handcuffs	94
it	95
low_room	96
low_ellipsoidal_room	97
