	0
for_another_launch.	1
Court_Yard	2
ground.	3
air_of_colonialism	4
tree_'s_massive_branches	5
twigs	6
air_of_british_colonialism_about_it	7
eleven_tennis_balls	8
air_of_late_colonialism	9
tree_'s_branches	10
exit_to_east	11
in_which_nineteen_tennis_balls	12
it	13
five_green_acorns	14
large_window	15
east	16
five_acorns	17
net	18
direction	19
tennis_ball_launching_machine	20
high_grey_stone_wall	21
ball_machine's_spring_mechanism_twangs_noisily,_and_uselessly_given_nothing_to_throw,_then_pulls_slowly_back_into_place_in	22
ground_in_breeze_across_cracked_tennis_court	23
breeze	24
three_tennis_balls	25
holes	26
window	27
falling_back_to_ground_bellow	28
launching_machine	29
of_the_tree_before_falling_back_to_the_ground_bellow.	30
gate	31
squirrels_nest	32
air_of_late_british_colonialism	33
tin_pail	34
nineteen_tennis_balls	35
green_acorn	36
acorns	37
six_tennis_balls	38
you	39
ground_across_tennis_court_with_net	40
me	41
five_tennis_balls	42
eight_tennis_balls	43
launching_spring	44
air_of_british_colonialism	45
ground_in_breeze_across_tennis_court	46
ground_in_breeze_across_tennis_court_with_rotting_net	47
cracked_green_tennis_court	48
spilling	49
exit_to_west	50
twenty_tennis_balls	51
shadows	52
device_spitters	53
one_corner_of_court_yard	54
bucket	55
iron	56
ground	57
relic	58
spring	59
balls	60
ball	61
ball_machine	62
seventeen_tennis_balls	63
in_which_tennis_ball	64
ground_across_cracked_tennis_court_with_net	65
west	66
ground_across_tennis_court	67
wall	68
air	69
tennis_ball_here	70
ground_in_breeze_listlessly_across_tennis_court	71
machine_driven_by_machine_'s_spring_mechanism	72
green_acorns	73
far_your_head	74
seven_tennis_balls	75
in_which_twenty_tennis_balls	76
carpeting	77
machine_driven_by_machine_'s_fashioned_spring_mechanism	78
thirteen_tennis_balls	79
rhetorical	80
ground_listlessly_across_tennis_court_with_net	81
fifteen_tennis_balls	82
assembly	83
tree	84
acorn	85
tin_bucket	86
twenty_one_tennis_balls	87
air_of_late_british_colonialism_about_it	88
exit_to_up	89
two_tennis_balls	90
ornate_iron_gate_set_into_rock	91
stone	92
tennis_ball_launches_out_of_the_machine_driven_by_the_machine's_old_fashioned_spring_mechanism._The_ball_bounces_about_the	93
ground_in_breeze_across_cracked_tennis_court_with_net	94
air_of_colonialism_about_it	95
ground_in_breeze_across_cracked_tennis_court_with_rotting_net	96
nine_tennis_balls	97
air_about_it	98
machine_driven_by_machine_'s_old_fashioned_spring_mechanism	99
ground_across_cracked_tennis_court	100
large_squirrels_nest	101
shower	102
ground_listlessly_across_tennis_court	103
south	104
large_oak_tree	105
relic_from_1930s	106
tin	107
ground_bellow	108
tennis_ball_launches_out_of_the_machine_driven_by_the_machine's_old_fashioned_spring_mechanism._The_ball_lands_uselessly_on	109
court_yard_good_sized_courtyard	110
old_fashioned_spring_mechanism	111
in_which_tin_bucket	112
falling_to_ground_bellow	113
tennis_balls	114
spring_mechanism_twangs_noisily	115
falling	116
machine	117
rusty_tin_pail	118
which	119
long_shadows	120
massive_branches	121
unable	122
machine_driven	123
light	124
ground_in_breeze_listlessly_across_tennis_court_with_net	125
branches	126
falling_back	127
sixteen_tennis_balls	128
large	129
east_wall	130
stories	131
ground_in_breeze	132
noisy_cacophony_of_pseudo_humorous_mechanical_sounds	133
court	134
branches_of_tree	135
north	136
ground_across_tennis_court_with_rotting_net	137
eighteen_tennis_balls	138
ground_in_breeze_listlessly_across_tennis_court_with_rotting_net	139
that	140
four_tennis_balls	141
machine_driven_by_machine_'s_old_spring_mechanism	142
noisy_symphony_winds_to_halt	143
your_head	144
ground_across_cracked_tennis_court_with_rotting_net	145
dirt	146
oak_tree	147
good_sized_courtyard	148
twelve_tennis_balls	149
grass_near_ball_machine	150
grass	151
coil	152
court_yard	153
a	154
tin_bucket_here	155
tennis_ball	156
exit_to_south	157
air_of_late_colonialism_about_it	158
exit_to_down	159
sticks	160
one_corner	161
ground_in_breeze_across_tennis_court_with_net	162
rotting_net	163
hardly_portable	164
dimming_light	165
exit_to_north	166
ground_listlessly_across_tennis_court_with_rotting_net	167
ten_tennis_balls	168
fourteen_tennis_balls	169
