	0
exit_to_west	1
your	2
white	3
cobblestone_street	4
or_it_doesn't_come_out_the_right_size,_or..."_He_stops,_apparently_overwhelmed_by_the_prospect_of_a_world_where_the	5
orator	6
great_monster	7
group_clustered_around_mirror	8
of_the_Guild_of_Brewers_stands,_gesturing_at_the_floury_baker._"You_don't_know_what_trouble_is!_Lately,_what_comes_out_of	9
newts	10
while	11
group	12
your_way	13
revealed	14
dark	15
are_so_tired_you_can_barely_concentrate.	16
also_revealed	17
south_wall	18
eyed_monster	19
in_the_square,_there_is_a_crashing_noise_like_an_explosion,_and_then_a_wisp_of_orange_smoke_drifts_in_through_the_door.	20
thick_cloud	21
fish	22
group_of_mages_clustered_around_mirror	23
magic_burin	24
floor	25
mayors	26
south	27
your_funny_bone	28
you_look_around_the_room_in_shock,_you_discover_that_Ardis_is_not_alone._Each_and_every_guildmaster_in_the_room_has_been	29
look	30
level	31
dark_cloak	32
are_beginning_to_tire.	33
frog	34
smoked	35
tired	36
group_of_mages	37
your_mind._Time_passes_as_you_snore_blissfully.	38
chunk	39
exit	40
mages	41
you_snore	42
well._Just_yesterday,_one_of_my_men_was_attacked_and_badly_wounded_by_a_troop_of_rat-ants._They'd_slipped_the_bounds_set_down	43
blorple	44
the_huntsman's_accusations_are_being_absorbed_and_discussed,_Ardis_of_the_Guild_of_Poets_takes_the_floor._He_begins_to_talk	45
mystic_connections	46
cloud	47
west	48
strangely_garbed_magicians_floating	49
so_tired	50
frotz	51
square	52
it_is_to_make_those_yummy_butter_pastries_by_hand?_When_a_simple_'gloth'_spell_would_fold_the_dough_83_times_it_was	53
wrong	54
object	55
You_can't_see_anything,_what_with_the_smokey_orange_cloud_that_blankets_the_square.	56
toads	57
room	58
dream_of_an_alchemist_bent_over_his_retorts,_alembics,_stinks_and_smokes._You_awaken.	59
your_body	60
magic._But_I_do_know_that_the_wild_beasts_are_kept_out_of_the_towns_and_villages_not_just_by_the_huntsmen,_but_by_spells	61
group_of_mages_clustered	62
objects	63
knife_(providing_light)	64
the_midst_of_his_splendid_peroration,_just_as_he_was_sketching_out_an_insulting_mythological_allusion_in_iambic_hexameter,	65
door	66
are_barely_able_to_keep_your_eyes_open.	67
north	68
chunk_of_rye_bread_(providing_light)	69
There_is_one_other_survivor._At_the_rear_of_the_room,_a_shadowy_figure_in_a_dark_cloak_slips_quietly_out_the_door.	70
shadowy	71
left_behind	72
are_practically_asleep.	73
front_of_it._You_awaken.	74
sneffle	75
magicians	76
glow	77
burin	78
knife	79
uneventfully_refreshed	80
guard	81
casting	82
more_tired	83
featureless_cube	84
sumptuous_buffet_lunch	85
sleep_uneventfully_and_awake_refreshed.	86
figure	87
shadowy_figure	88
its_arms	89
garbed_magicians	90
ancient_guild_hall	91
alembics	92
enchanters	93
council_chamber_of_ancient_guild_hall_at_borphee	94
"traitors"_rises_out_of_nowhere._Your_fellow_Enchanters_are_looking_at_one_another_nervously.	95
rezrov	96
noise	97
in_square	98
sorcerer	99
tall,_gruff_fellow_begins_to_speak._This_is_Gzornenplatz_of_the_Guild_of_Huntsmen._"I'm_a_simple_man,_and_I_don't_know_much	100
dream_of_a_great_hard-eyed_monster,_its_insectile_arms_dipping_and_turning_to_the_commands_of_a_sorcerer_who_stands_fearless	101
great_hard_eyed_monster	102
guildmasters	103
statement_has_a_profound_effect_on_portions_of_the_crowd._You_can_hear_rumblings_from_the_back_concerning_Enchanters._The	104
practically_asleep	105
hall	106
white_cube	107
Guild_Hall	108
barely_able	109
chamber	110
smoked_fish	111
more	112
alchemist_bent_over_his_retorts	113
east	114
rezrov_spell	115
orange_smoke_dissipates_almost_as_suddenly_as_it_arrived._Left_behind_on_the_cobblestones_is_a_small_featureless_white_cube.	116
Belwit_Square	117
loaf	118
spell_book	119
spell_book_(providing_light)	120
your_whole_body	121
your_last_reserves_of_strength	122
small_cube	123
yomin	124
are_dead_tired.	125
magic_burin_(providing_light)	126
of_the_Guild_of_Bakers_is_addressing_the_gathering._"Do_you_know_what_this_is_doing_to_our_business?_Do_you_know_how	127
crashing_noise	128
momentarily_blinded	129
vats,_like_as_not,_is_cherry_flavored_or_worse._The_last_vat,_I_swear_it,_tasted_as_if_grues_had_been_bathing_in_it._It	130
gnusto_spell	131
chunk_of_rye_bread	132
malyon	133
strangely_garbed_magicians	134
jindak_spell	135
eye	136
lesoch_spell	137
efts	138
smoked_fish_(providing_light)	139
Council_Chamber	140
exit_to_down	141
gzornenplatz	142
bread	143
revealed_is_a_chunk_of_rye_bread..	144
your_bone	145
gnusto	146
small_featureless_cube	147
its_insectile_arms	148
hard_monster	149
sleep!_It's_been_a_long_day,_and_rest_will_do_you_good._You_stretch_out_on_the_floor_and_drift_off,_renewing_your_powers_and	150
orkan	151
wisp	152
lesoch	153
left	154
book	155
my	156
newt	157
frotz_spell	158
into_a_frog,_salamander,_or_other_amphibian!_All_but_one,_that_is	159
sinister_figure	160
ardis	161
revealed_is_a_knife..	162
your_reserves	163
are_feeling_tired.	164
featureless_white_cube	165
cloud_of_orange_smoke	166
long	167
yomin_spell	168
dream_of_strangely_garbed_magicians_floating_in_midair._You_awaken.	169
jindak	170
frogs	171
tire	172
small_featureless_white_cube	173
his	174
magicians_floating	175
council_chamber	176
you	177
garbed_magicians_floating	178
great_hard_monster	179
light	180
belwit_square	181
storied_manse	182
the_now-angry_clump_of_mages_around_you.	183
alchemist_bent	184
that	185
monster	186
exit_to_south	187
enchanted	188
are_worn_out.	189
are_getting_more_and_more_tired.	190
malyon_spell	191
small_white_cube	192
your_reserves_of_strength	193
rhetorical	194
magicians_floating_in_midair	195
exit_to_east	196
refreshed	197
magic_rhyming_and_spelling_aids,_and_their_lack.	198
this	199
exit_to_up	200
manse	201
dead_tired	202
commands	203
dream_of_a_group_of_mages_clustered_around_a_magic_mirror_in_which_scenes_of_terrible_violence_are_visible._You_awaken.	204
blorple_spell	205
rye	206
buffet_lunch	207
commands_of_sorcerer	208
magical_glow	209
group_clustered_around_magic_mirror	210
cloud_of_smoke	211
spell	212
a_'fripple'_spell_somehow._Are_we_going_to_let_the_sorcerers_loose_rat-ants_on_us,_and_worse?"_He_sits,_glaring_significantly	213
poet_turns_even_greener_than_usual._His_chin_elongates_and_his_skin_begins_to_look_sort_of_slimy._In_the_blink_of_an_eye	214
little	215
to_make_a_profit,_but_now_'gloth'_hardly_works,_and_when_it_does,_it_usually_folds_the_dough_too_often_and_the_butter	216
hard_eyed_monster	217
visible	218
your_mind	219
have_to_be_hand-made._"Can't_you_do_anything_about_this?_You're_supposed_to_know_all_about_magic!"	220
time	221
are_so_exhausted_you_can't_stay_awake_any_longer.	222
are_moving_on_your_last_reserves_of_strength.	223
you_snore_blissfully	224
guild_hall	225
borphee	226
magic_to_turn_weird_vegetables_and_water_into_good_Borphee_beer._Well,_without_magic,_there_isn't_going_to_be_any_beer!"	227
wide_cobblestone_street	228
great_eyed_monster	229
group_clustered	230
wall	231
out_square	232
brewers	233
baker	234
salamanders	235
cube	236
your_powers	237
spells	238
eyes	239
garbed_magicians_floating_in_midair	240
your_last_reserves	241
smoke	242
buildings	243
magic	244
it	245
strangely_garbed_magicians_floating_in_midair	246
group_of_mages_clustered_around_magic_mirror	247
stands_at_the_podium,_not_the_orator,_but_rather_a_large_orange_newt._"Breek!_Co-ax!_Co-ax!"_it_protests.	248
surly_guard	249
cobblestones	250
generations	251
number	252
scenes	253
exit_to_north	254
sleep	255
has_struck	256
orange	257
