	0
Castle_Dungeon	1
formal_court	2
blinding_shine	3
center_of_intersection	4
room_castle_dungeon_dark	5
colors_of_rainbow_dance	6
guard_station	7
end_of_hall_taking_in_panorama_once_majestic_area	8
visitors	9
morden	10
large_fireplace_here	11
northern_end_of_hall_taking	12
by_fireplace_northern_end_of_hall	13
fear	14
its_simplicity	15
Dark_Elf_leaves_the_room	16
enemy	17
chamber	18
men	19
dark	20
made	21
voice	22
large_comfortable_couches	23
vast_wealth_of_duke	24
wide	25
your_hand	26
stored	27
guard_post	28
couches	29
piece	30
get_first	31
castle_dungeon_dark	32
by_fireplace_northern_end_of_main_hall_taking_in_panorama_area	33
long_lined	34
personal_guard	35
The_Charlie_Company_Barracks_(in_the_Pentarian_Transporter)_Taken.	36
dining	37
rank	38
getting	39
dirty	40
should_included_as_example	41
almost_haphazzardly_in_various_corners	42
relax	43
Dungeon_Cell	44
Charlie_Company_Barracks	45
fireplace_in_large_fireplace	46
voice_from_shouting	47
new_edition	48
bookcases_filled_to_capacity	49
your_fist	50
tall_racks	51
blatant_reminder	52
cramped_quarters	53
cursory_glance	54
exit_to_south	55
sword	56
sensation_of_vertigo	57
ones	58
capacity	59
swords	60
fine_Pentarian_sword	61
genealogy_of_dukes	62
room_spots	63
moment	64
comfortable_couches	65
end	66
castle	67
quarters	68
bed	69
chairs	70
fine_state_dinners	71
blatant_reminder_of_your_nation_'s_past	72
single_scrap	73
relax_in_somewhat_informal_atmosphere	74
majesty	75
ceiling_bookcases_filled_capacity_books	76
fireplace	77
folded_linen_towel	78
box	79
spots	80
private_quarters	81
partially_blocked	82
momentary_sensation	83
own_company	84
that	85
your_footsteps	86
small_cube_shaped_cell	87
large_tables	88
five_points	89
copy_of_legends_of_pentari	90
center	91
its_privileges	92
end_of_main_hall_taking_in_panorama_once_area	93
should_included	94
oaken	95
hole	96
lavatory	97
haphazzardly_in_corners	98
barracks	99
Library	100
library_this	101
platinum	102
castle_'s_gate	103
large_room	104
his_troops	105
Barracks	106
Audience_Chamber	107
riser_with_four_rows	108
shorter_ones	109
stones	110
whole_weekend	111
day	112
exquisite_paintings	113
by_fireplace_end_of_hall_taking_in_panorama_once_majestic_area	114
smallest_on_his_face	115
servers	116
Treasury	117
your_assignment	118
pentarian_transporter	119
barrier	120
northern_end	121
contingent_of_soldiers	122
by_fireplace_end_of_hall_taking_in_panorama_area	123
legends	124
allowed	125
wall	126
comfortable	127
depression	128
annoyed_voice_from_south_shouting	129
large_archway_north	130
i	131
housed_outside_castle	132
backed_chairs	133
dank	134
end_of_main_hall	135
annoyed_voice_from_shouting	136
few_tables	137
marble_staircase	138
west	139
wooden_shelf	140
informal_atmosphere	141
Entrance_Hall	142
exit_to_north	143
The_Main_Hall,_by_the_Fireplace_(in_the_Large_Fireplace)	144
circle	145
room_castle	146
someone	147
wealth	148
orders_of_day	149
blocked	150
northern_end_of_main_hall_taking	151
magical_seal	152
by_fireplace_northern_end_of_hall_taking_in_panorama_area	153
place	154
end_of_hall_taking	155
kitchen	156
treaties	157
new_edition_of_soldier_'s_handbook	158
momentary_sensation_of_vertigo	159
duke_'s_personal_guard	160
huge_semi_circular_marble_staircase_leading_up_to_parts_unknown	161
handbook	162
Castle	163
hardly_portable	164
lore	165
your_sword	166
you	167
other	168
voice_from_south_shouting	169
its_scabbard	170
room_main_hall	171
racks	172
jewel_encrusted_dagger	173
large_couches	174
about_squalid	175
copy_of_legends	176
room_taking_in_vast_expanse	177
room_dungeon_cell	178
dark_elf	179
materialize	180
collapsed_stones	181
exit_to_down	182
vast_chamber	183
walls	184
northern_end_of_main_hall_taking_in_panorama_once_area	185
several_comfortable_couches	186
almost_blinding_shine	187
bunks	188
you_walk_through_room	189
end_of_main_hall_taking_in_panorama_area	190
room	191
crumpled_piece_of_paper	192
duke	193
where_signed	194
get	195
company_'s_supply_cache	196
riser	197
tables	198
reminder	199
ceiling_with_bookcases	200
surprisingly_small_for_job	201
transporter_booth	202
northern_end_of_main_hall_taking_in_panorama_majestic_area	203
by_fireplace_northern_end_of_main_hall	204
castle_itself	205
northern_end_of_hall	206
several_titles_on_topics	207
where_perhaps_signed	208
copy_of_The_Legends_and_Lore_of_Pentari	209
Charlie_Company_Compound	210
you_walk_through_room_taking_in_vast_expanse_of_its_size	211
foiled	212
something	213
miles	214
when_lieutenant	215
clothing	216
perfectly_made	217
squalid	218
several_titles_on_various_topics_of_magic	219
edition	220
needs	221
several_titles_on_topics_of_magic	222
several_racks	223
ones_mounted	224
musty	225
power	226
visitors_would_first_go	227
fine_pentarian_sword_here	228
atmosphere	229
fireplace_here	230
entrance_to_castle_proper	231
several_tall_racks	232
ten_points	233
contingent_of_soldiers_close_at_hand	234
open_area	235
almost_haphazzardly	236
getting_in_anyone_'s_way	237
right	238
ahead	239
shouting	240
fine_pentarian_sword	241
learn	242
dagger	243
tapestries	244
private_spacious_quarters	245
northern_end_of_hall_taking_in_panorama_once_area	246
exit_to_up	247
few_large_tables	248
many_fine_state_dinners	249
needs_of_his_vassals	250
sword_here	251
Dark_Elf_walks_around_as_if_looking_for_something.	252
postcard	253
room_audience_chamber	254
company	255
court	256
north	257
locker	258
several_titles_on_various_topics	259
several_couches	260
orders	261
by_fireplace_end	262
pentarian_sword_here	263
somehow_smaller	264
comfortable_looking	265
your_sight	266
perhaps_signed	267
lore_of_pentari	268
entrance_hall_your_footsteps	269
transporter	270
just_barracks	271
ceiling_bookcases	272
elf	273
titles	274
way	275
just_castle_'s_gate	276
three_buildings	277
his_people	278
you_walk_through_room_taking_in_vast_expanse	279
otherwise_passable	280
comapny	281
long_shelf	282
three_large_buildings	283
Charlie_Company_Barracks_(in_the_Pentarian_Transporter)	284
you_walk	285
room_taking_in_expanse_of_its_size	286
room_castle_dungeon	287
by_fireplace_end_of_hall_taking	288
this	289
floors	290
smallest	291
lined	292
Main_Hall	293
huge_marble_staircase	294
by_fireplace_northern_end_of_hall_taking_in_panorama_majestic_area	295
northern_end_of_hall_taking_in_panorama_majestic_area	296
large_area	297
fireplace_in_fireplace	298
genealogy	299
ceiling_bookcases_filled	300
moment_of_disorientation	301
large_fireplace	302
spears	303
ceiling_with_bookcases_filled_to_capacity_with_books	304
audience_chamber	305
piece_of_paper	306
fine_sword	307
relax_in_informal_atmosphere	308
vast_wealth	309
northern_end_of_main_hall_taking_in_panorama_area	310
shorter_ones_mounted	311
open_cell	312
seal	313
just_ahead	314
by_fireplace_end_of_main_hall	315
main_hall	316
standard	317
towel	318
haphazzardly	319
entrance	320
end_of_hall_taking_in_panorama_area	321
supply_cache	322
times	323
room_taking_in_expanse	324
floor	325
slightly_annoyed_voice	326
Dining_Room	327
past	328
looking	329
small	330
ceiling_with_bookcases_filled	331
books	332
floor_dining_room_duke	333
by_fireplace_end_of_main_hall_taking_in_panorama_once_majestic_area	334
grand_table	335
huge_fireplace	336
corridor	337
your_own_company_'s_barracks	338
floor_time	339
charlie_company_compound_your_company_compound	340
room_against_northern_wall	341
charlie_company_barracks	342
strategies	343
east	344
by_fireplace_northern_end_of_hall_taking_in_panorama_once_majestic_area	345
rhetorical	346
by_fireplace_end_of_main_hall_taking_in_panorama_area	347
fine_scroll_here	348
shine	349
right_for_your_sword_on_reflex	350
would_stored_here	351
surprisingly_small	352
by_fireplace_end_of_main_hall_taking_in_panorama_majestic_area	353
cube_shaped_cell	354
your_sight_of_barracks	355
lieutenant	356
smallest_of_smiles	357
chest	358
your_eyes	359
Armory	360
your_company_'s_barracks	361
fine_sword_here	362
visitors_would_go	363
large_tapestries	364
Your_Quarters	365
your_history_lessons	366
hear	367
slightly_annoyed_voice_from_south_shouting	368
titles_on_various_topics	369
room_treasury	370
company_formations	371
contingent_close_at_hand	372
jewel	373
high_backed_chairs	374
your_previous_assignment	375
age	376
fine_state_dinners_in_its_day	377
here	378
fine_scroll	379
table	380
many_servers	381
pentarian_sword	382
cell	383
bostwin	384
reminded	385
right_for_your_sword_in_its_scabbard	386
several_titles	387
dungeon	388
wizard_morden	389
dirty_scroll	390
all	391
by_fireplace_northern_end_of_hall_taking	392
you_walk_through_room_taking	393
slightly_annoyed_voice_from_shouting	394
northern_end_of_hall_taking_in_panorama_area	395
shorter_ones_mounted_against_wall	396
by_fireplace_northern_end_of_main_hall_taking_in_panorama_once_area	397
titles_on_topics	398
housed	399
Castle_Entrance	400
comfortable_chairs	401
its_day	402
Kitchen	403
good_comapny	404
center_of_room_against_northern_wall	405
dining_room	406
fellow_lieutenant	407
invisible_barrier	408
four_rows_of_benches_directly_in_it	409
crumpled_piece	410
The_Charlie_Company_Barracks_(in_the_Pentarian_Transporter)_	411
glance	412
throne	413
ceiling	414
end_of_main_hall_taking_in_panorama_majestic_area	415
picture	416
crumpled	417
paper	418
by_fireplace_northern_end_of_main_hall_taking_in_panorama_once_majestic_area	419
would_stored	420
embarassed	421
times_past_vast_wealth_of_duke	422
astonished	423
by_fireplace_end_of_main_hall_taking	424
closed	425
ceiling_with_bookcases_filled_to_capacity	426
by_fireplace_end_of_hall	427
just_barracks_themselves	428
south	429
yourself	430
distant_shouts	431
The_Charlie_Company_Barracks_(in_the_Pentarian_Transporter)	432
center_of_room_against_wall	433
nation	434
parts_unknown	435
contingent_close	436
vamvevmew	437
your_score	438
spacious_quarters	439
long_wooden_shelf	440
slightly_embarassed	441
lowly	442
area	443
scroll_here	444
genealogy_of_dukes_of_bostwin	445
center_of_room	446
scroll	447
linen_towel	448
main_intersection	449
room_against_wall	450
paintings	451
by_fireplace_end_of_main_hall_taking_in_panorama_once_area	452
huge_room	453
copy	454
haphazzardly_in_various_corners	455
you_begin	456
by_fireplace_end_of_hall_taking_in_panorama_majestic_area	457
end_of_main_hall_taking_in_panorama_once_majestic_area	458
host	459
right_for_your_sword	460
end_of_hall_taking_in_panorama_majestic_area	461
castle_dungeon	462
vast	463
duke_'s_guard	464
right_for_your_sword_in_its_scabbard_on_reflex	465
room_kitchen	466
signed	467
bulk	468
you_remember	469
end_of_hall_taking_in_panorama_once_area	470
reminder_of_your_nation_'s_past	471
northern_end_of_main_hall_taking_in_panorama_once_majestic_area	472
ceiling_bookcases_filled_capacity	473
northern_end_of_main_hall	474
room_taking_in_vast_expanse_of_its_size	475
sensation	476
guests	477
riser_with_four_rows_of_benches	478
it	479
Sitting_Room	480
lowly_lieutenant	481
job	482
northern_end_of_hall_taking_in_panorama_once_majestic_area	483
large_open_area	484
great_hall	485
titles_on_various_topics_of_magic	486
room_spots_in_colors_of_rainbow_dance	487
shouts	488
entrance_hall	489
army	490
shelf	491
highpoints_of_dungeon	492
barracks_themselves	493
edition_of_soldier_'s_handbook	494
by_fireplace_northern_end	495
high_chairs	496
supply_building	497
cube_cell	498
treasury	499
room_castle_entrance	500
by_fireplace_northern_end_of_hall_taking_in_panorama_once_area	501
smaller	502
stoves	503
small_for_job	504
upstairs	505
many_large_tapestries	506
when_lowly_lieutenant	507
contingent_of_soldiers_close	508
Spiral_Stairway	509
highpoints	510
wealth_of_duke	511
contingent	512
right_on_reflex	513
polished	514
hall	515
end_of_hall	516
relax_in_atmosphere	517
by_fireplace_northern_end_of_main_hall_taking_in_panorama_majestic_area	518
smallest_of_smiles_on_his_face	519
room_dining_room	520
archway_north	521
several_large_comfortable_couches	522
room_barracks	523
can_seen	524
annoyed_voice	525
room_taking	526
one_article	527
almost_haphazzardly_in_corners	528
entrance_to_castle	529
looking_for_something	530
south_shouting	531
Main_Hall,_by_the_Fireplace	532
your_vision	533
you_walk_through_room_taking_in_expanse	534
your_quarters_rank	535
to_west_can_seen	536
company_'s_supply_building	537
exit_to_west	538
Dark_Elf_walks_in.	539
by_fireplace_northern_end_of_main_hall_taking	540
anyone	541
far_you	542
exit_to_east	543
tossed	544
small_cube_cell	545
you_walk_through_room_taking_in_expanse_of_its_size	546
bunk	547
many_fine_state_dinners_in_its_day	548
end_of_main_hall_taking	549
soldier	550
titles_on_topics_of_magic	551
by_fireplace_end_of_hall_taking_in_panorama_once_area	552
scattered	553
parts	554
your_company_compound	555
weekend	556
somewhat_informal_atmosphere	557
prince	558
intersection	559
dining_room_itself	560
ones_mounted_against_wall	561
several_large_couches	562
barbaric	563
ward	564
