	0
damp_corner	1
your_feet	2
south_corner	3
north	4
Corner_Of_the_Carpark	5
East_Of_Office	6
exit_to_up	7
big	8
Generator_Room	9
coil_of_wire	10
floor	11
main_entrance	12
water	13
fuse	14
corner_damp_corner	15
way	16
south_east_corner_of_carpark	17
you	18
other	19
far_too_thick	20
toughened_glass	21
doors	22
inches	23
back_south	24
bottom_of_stone_stairwell	25
ceiling	26
your_passage	27
exit_to_down	28
few	29
Car	30
long_ladder	31
plant_pots	32
building	33
bulldozer	34
dragon_statue	35
bikeshed	36
hardly_portable	37
exit_to_north	38
thick_bushes	39
large	40
label	41
storage_shed_of_kind	42
sort_of_thermonuclear_weapon	43
Front_Of_The_Office	44
well	45
murky_water	46
dirt	47
lights	48
storage_shed	49
Storage_Shed	50
wild	51
Abandoned_Well	52
gun	53
huge_storage_shed	54
that	55
employees	56
door	57
Bottom_Of_The_Well	58
control	59
The_Delivery_Bay_Gateway	60
ladder	61
meter	62
thick	63
huge	64
Plant_Pots	65
far_thick	66
Maintanence_Stairwell_(Bottom)	67
only_way	68
long_ladder_here	69
delivery_bay	70
damp_corner_damp_corner	71
Dragon_Statue	72
sort_of_tactical_thermonuclear_weapon	73
locked	74
Bike_Shed	75
medium	76
low_building	77
exit_to_south	78
dragon	79
cup	80
corner	81
main_entrance_entrance	82
south_east_corner	83
your_car	84
west_of_office_building_'s_facia	85
securely_locked	86
office_building	87
signs	88
side_gate	89
east_corner	90
pathway	91
glass	92
clearing	93
plants	94
dragon_statue_here	95
fuse_here	96
clearing_in_bushes	97
plant_pots_here	98
exit_to_east	99
direction	100
Coil_of_wire	101
carpark	102
thick_clump_of_bushes	103
plush	104
bike_work	105
main_carpark_carpark	106
east_of_office_building_'s_facia	107
sort_of_tactical_weapon	108
south	109
west	110
Main_Entrance	111
smoke	112
lodged	113
concrete_room_with_low_ceiling	114
long	115
large_gate	116
wire	117
The_Main_Carpark	118
statue	119
Long_Ladder	120
few_inches	121
bushes	122
shed	123
West_Of_Office	124
plant	125
path	126
rhetorical	127
exit_to_west	128
Fuse	129
end	130
gate	131
Storage_Shed_Door	132
Damp_Corner	133
closed	134
storage_shed_door_low_building	135
pots	136
entrance	137
murky	138
end_of_path	139
top_of_stone_stairwell	140
delivery_bay_gateway_large_gate	141
sort	142
generator	143
side	144
car	145
it	146
delivery_bay_gateway_gate	147
abandoned_well	148
your_feet_against_one_side	149
sort_of_weapon	150
nobody	151
footprints	152
coil	153
ladder_here	154
east	155
storage_shed_door_building	156
Gun	157
Some_Bushes	158
dense_bushes	159
diameter	160
receptionists_desk	161
too_thick	162
main_entrance_main_entrance	163
