	0
wad	1
hallway_upstairs_hallway	2
gnome	3
upstairs_hallway	4
nothing_more_than_annex_between_several_other_rooms_of_house	5
exit_to_up	6
candy_bar_here	7
you	8
your_gold_watch	9
south	10
exit_to_west	11
bedroom_door_dropped	12
soapy	13
startled_little_man	14
object_number_69	15
gold	16
man	17
that	18
exit_to_northeast	19
too_disgusting	20
Master_Bathroom	21
Master_Bedroom	22
trouble	23
whistle	24
open_curtain	25
staring_at_ceiling	26
refreshed_from_your_hiatus_from_consciousness	27
floor	28
car	29
wad_of_gum	30
south_wall	31
hallway	32
from_door	33
door_ledge	34
better	35
shower	36
just_disgusting	37
little_toy_car_here	38
gurgle	39
black	40
beat-up_old_bag_(which_is_closed)	41
staring	42
toy_car_here	43
your_room	44
cramp	45
Master_Bedroom_(in_the_bed)	46
stairway	47
kids	48
your_feet	49
watch	50
small_area	51
little_bit	52
Mark's_Room_(on_the_bench)	53
your_hiatus	54
rhetorical	55
comin	56
glance	57
curtain	58
your_hiatus_from_consciousness	59
silent	60
toy	61
your_antics	62
really_nothing_more_than_annex_between_several_other_rooms_of_house	63
pillows	64
west	65
spurs_clattering	66
all	67
little_gnome_here	68
little_gnomish_man	69
way	70
feel	71
a_sleepy	72
their_gum	73
few_words	74
greenish_tinge	75
your_bedroom	76
master_bedroom	77
already_closed	78
nothing	79
north	80
your_move	81
here_bag	82
food	83
closet	84
little	85
refreshed	86
bed	87
northeast	88
exit_to_east	89
dirty	90
gumball	91
children	92
get	93
feel_much_better	94
Mark's_Room	95
ledge	96
someone	97
really_nothing	98
rooms	99
your_watch	100
mess	101
then_silent	102
gooey	103
silver	104
your_score	105
home	106
get_first	107
carpet_like_glue	108
your_move_in_small_area	109
messy_side	110
considerably_better_than_your_children_'s_rooms	111
walk	112
your_stomach	113
your_watch_from_your_wrist	114
also_bit	115
open_curtain_here	116
moldy_candy_bar_here	117
dirty_clothes	118
Kids'_Bathroom	119
shower_curtain	120
exit_to_north	121
thoughtfully_sprinkled	122
toy_car	123
candy_bar	124
Upstairs_Hallway	125
gooey_gum	126
moving	127
it	128
towels	129
exit_to_south	130
words	131
also_little_bit	132
side	133
bar	134
sprinkled	135
assorted_toys	136
interspersed	137
carpet	138
move	139
south_to_west	140
you_reach	141
Mark's_Room_(on_the_bench)_(on_the_bed)	142
blue_gumball	143
On_the_Floor	144
stomach_is_starting_to_feel_much_better.	145
george	146
your_bedroom_is	147
items	148
moldy	149
yer_trouble	150
disgusting	151
room	152
curtain_here	153
you_reach_for_gumball	154
closet_door	155
upstairs_nothing_more_than_annex_between_several_other_rooms_of_house	156
which	157
gold_watch_(being_worn)	158
upstairs_really_nothing_more_than_annex_between_several_other_rooms_of_house	159
your_head	160
east	161
considerably_better	162
i	163
dresser	164
wall	165
comin_master_bathroom_beautiful_plants	166
a	167
kati	168
mark	169
tinge	170
spacious_walk	171
interspersed_with_assorted_toys	172
a_somewhat_sleepy	173
two_points	174
you_start	175
east_in_closet	176
better_than_your_children_'s_rooms	177
moldy_candy_bar	178
upstairs_nothing	179
Mark's_Room_(on_the_bed)	180
gnomish_man	181
five_points	182
quick_glance	183
feel_better	184
your_gold_watch_from_your_wrist	185
one_swift_movement	186
little_toy_car	187
your_previous_antics	188
fact	189
gum	190
interspersed_with_toys	191
water	192
cowboy_hat	193
machinery	194
already_open	195
just_too_disgusting	196
other	197
hurt	198
bag	199
bench	200
Darkness	201
bit	202
quite_refreshed	203
quite_refreshed_from_your_hiatus	204
ceiling	205
toys	206
mirrored_doors	207
surprisingly_good	208
clattering	209
you_start_to_north	210
door	211
candy	212
little_gnome	213
gnome_here	214
wad_of_gooey_gum	215
startled_man	216
exit_to_down	217
little_man	218
upstairs_really_nothing	219
clothes	220
good	221
refreshed_from_your_hiatus	222
closed	223
dexterity	224
finished_dresser	225
bench_here	226
only_way	227
quite_refreshed_from_your_hiatus_from_consciousness	228
bar_of_soap	229
