	0
your_fit_of_spring_cleaning	1
rock	2
exit_to_west	3
exit_to_down	4
floppy	5
your_yo_yo	6
they_open	7
cloth_pouch	8
scarf_here	9
closed_door	10
small_cupboard	11
attached	12
Rocky_Clearing	13
felt_hat_here	14
wall	15
Storage_Room	16
fluid_link	17
rhetorical	18
workshop_this	19
unlit_match	20
cupboard	21
place	22
almost_all_corridors_of_tardis	23
exit_to_north	24
time	25
exit_to_southeast	26
sound	27
open_door	28
tardis_key_here	29
humming_noise	30
main_doors	31
metal_drawer	32
match	33
Rocky_Trail	34
things	35
coordinates	36
located	37
door	38
room	39
tardis_console	40
console_room_console_room	41
your_fit	42
air	43
floppy_felt_hat_here	44
slot	45
operations_of_tardis	46
unclimbable_rock	47
center	48
northwest	49
east	50
floor	51
floppy_hat	52
rotor	53
that	54
spacecraft	55
relatively_flat_piece_of_ground_on_side_of_mountain	56
fluid_link_inside	57
unusual_places	58
direction	59
floppy_hat_here	60
Console_Room	61
brown	62
toolkit	63
rooted	64
minute	65
drifting_through_air	66
your_yo_yo_here	67
west_side	68
corridor	69
hat_here	70
tweed_jacket_(being_worn)	71
west	72
console	73
exit_to_south	74
scanner	75
actual_storage_room	76
unlit	77
your_latest_fit	78
doors	79
loud_whining_sound	80
exit_to_up	81
your_yo_yo_tardis_key	82
small	83
your_toolkit	84
tweed_jacket	85
drifting	86
TARDIS_key	87
key	88
north	89
side_of_room	90
most_unusual_places	91
link	92
long_scarf_here	93
visible	94
hat	95
hardly_portable	96
your_workbench	97
operations	98
tardis_key	99
card	100
humming_noise_permeates_the_air.	101
places	102
clearing	103
you	104
workbench	105
storage_room	106
incredibly_long_scarf_here	107
long_scarf	108
tardis	109
middle_of_east_west_corridor	110
all	111
Workshop	112
brown_card	113
much	114
scarf	115
south_wall	116
actual_storage_room_as_cliche	117
exit_to_east	118
k9	119
incredibly_long_scarf	120
tweed_jacket_here	121
south	122
noise	123
forever	124
your	125
incredibly_long_scarf_(being_worn)	126
center_of_room	127
heart	128
felt_hat	129
your_workshop	130
exit_to_northwest	131
corridor_outside	132
tiny_metal_drawer	133
drawer	134
humming_noise_begins_drifting_through_the_air.	135
your_latest_fit_of_spring_cleaning	136
yo	137
main	138
earth_tremors_as_a_loud_roar_fills_the_air._Looking_up,_you_can_see_a_spacecraft_blasting_upwards_into_the_sky.	139
loud_whining_sound_drifts_through_the_air.	140
floppy_felt_hat	141
distance	142
firmly_rooted	143
yo-yo	144
all_corridors_of_tardis	145
eastern_wall	146
trail	147
firmly_attached	148
tweed	149
last_minute	150
workshop	151
metal	152
lever	153
floppy_felt_hat_(being_worn)	154
side	155
storage_room_as_cliche	156
west_side_of_room	157
they	158
whining_sound	159
loud_sound	160
Corridor	161
southeast	162
corridors_of_tardis	163
small_cloth_pouch	164
sky	165
north_wall	166
button	167
earth_tremors	168
console_room	169
