	0
broken_closed	1
white	2
small_clearing_in_well_marked_forest_path	3
broken_clockwork_broken_jewel	4
sailor	5
windows	6
egg_pile	7
lantern	8
stiletto	9
marvelous_view	10
large_bag	11
End_of_Rainbow	12
exit_to_down	13
this	14
now_full	15
feat_of_daring	16
case	17
feat	18
bird's_nest_contains	19
about_10_feet	20
broken_clockwork_canary_bird	21
passageway	22
small	23
trophy	24
remains_of_intricate_machinery	25
pile_of_leaves	26
one	27
Behind_House	28
great_cavern	29
egg_forest_path	30
door	31
fangs_of_lurking_grue	32
view	33
ground	34
broken_broken_jewel	35
golden_clockwork_nestled	36
metal	37
crystal_window	38
closed	39
crystal_window_below_its_wing	40
troll_'s_axe	41
your_handling	42
It_is_pitch_black._You_are_likely_to_be_eaten_by_a_grue.	43
mountains	44
Clearing	45
slavering_fangs_of_grue	46
following_canyon_upstream_may_seen	47
clockwork_canary_broken_jewel	48
clockwork_nestled	49
delicate_looking_clasp	50
on	51
thief	52
remains	53
lurking_grue	54
floor	55
lit_forest	56
passages_to_east	57
trees_around	58
broken_clockwork_canary_closed	59
ramparts	60
below	61
here	62
broken_clockwork_canary_canary	63
top	64
cover	65
broken_canary_broken_clockwork_canary	66
broken_clockwork_broken_clockwork_canary	67
clockwork_canary	68
chimney	69
one_large_tree	70
canary_clockwork_canary	71
canary_closed	72
forest	73
likely	74
kitchen_of_white_house	75
large_coil	76
broken_forest_path	77
canary_forest_path	78
ledge_about_halfway_up_wall_of_river_canyon	79
top_of_great_canyon_on_its_west_wall	80
narrow	81
remains_of_machinery	82
leaflet	83
clockwork_forest_path	84
looking_clasp	85
ramparts_of_flathead_mountains	86
pile	87
west_of_white_house_with_boarded_front_door	88
chirping_of_song_bird	89
brass_lantern_(providing_light)	90
exit_to_up	91
clockwork_clockwork_canary	92
brown	93
north_side_of_white_house	94
Canyon_View	95
forest_small_leaflet	96
jewel-encrusted_egg	97
broken_done	98
egg_pile_of_leaves	99
lunch	100
trees	101
bloody	102
forest_path	103
forest_path_small_leaflet	104
fangs_of_grue	105
lean_gentleman	106
broken_clockwork_clockwork_canary	107
light	108
exit	109
nest_closed	110
Forest	111
Cellar	112
grue	113
your_feet	114
forest_surrounding_on_sides	115
cracked_crystal_window_below_its_left_wing	116
cracked_crystal_window	117
attic	118
he	119
eggs	120
may_seen	121
The_Troll_Room	122
broken_jewel-encrusted_egg	123
canary_broken_canary	124
dead	125
slavering_fangs_of_lurking_grue	126
large_trees_around	127
mighty_ramparts_of_flathead_mountains	128
swing	129
your_gas_tank	130
glass_bottle	131
egg	132
covered	133
your_way	134
broken_clockwork_forest_path	135
walls	136
corner	137
bag	138
its_silver_beak	139
large	140
brass	141
clockwork_canary_broken_clockwork_canary	142
canary_jewel	143
Kitchen	144
nasty	145
broken_clockwork_canary_done	146
lit	147
dark_cavern	148
nest_forest_path	149
clockwork_broken_canary	150
up_tree_about_10_feet_above_ground_nestled_among_large_branches	151
food	152
brown_sack	153
clockwork_canary_clockwork_canary	154
path	155
troll_swings_his_axe,_but_it_misses.	156
now_on	157
walls_of_river_canyon	158
rope	159
broken_clockwork_closed	160
directions	161
clockwork_jewel	162
empty	163
branch	164
you	165
disgruntled	166
cracked_crystal_window_below_its_wing	167
broken_jewel-encrusted_egg_contains	168
Living_Room	169
room	170
bird_'s_nest	171
gentleman	172
fine_gold_inlay	173
top_on_its_west_wall	174
bird's_nest	175
exit_to_west	176
Attic	177
broken_clockwork_broken_canary	178
broken_jewel	179
's	180
clockwork_canary_jewel	181
narrow_path	182
lesser_part	183
your_sword	184
nothing_of_value	185
jewel	186
exit_to_south	187
troll_stirs,_quickly_resuming_a_fighting_stance.	188
antiquity	189
small_leaflet	190
south_side_of_white_house	191
broken_broken_canary	192
quantity	193
