	0
random	1
confused_young_man	2
wrought_iron_key	3
door	4
shadow	5
miriam	6
looks_nervously_around.	7
ancient	8
chamber	9
dark	10
exit	11
voice	12
staircase	13
abysses_of_inexplicably_coloured_twilight	14
stairs	15
they	16
storage_chamber_connected_to_study_through_doorway_in_wall	17
massive_oak_door	18
shelves	19
spacious_chamber_inside_tower	20
says_'Oh_God,_I'm_so_tired_of_this._I_only_want_to_return_home.'	21
roofs	22
tower	23
ai_throdog	24
and_it_seems_like_his_is_suffering_from_a_memory_loss.	25
sky	26
cobwebs	27
unfamiliar	28
yellow	29
creatures	30
exit_to_south	31
vials	32
hideous_monster	33
lost	34
abysses_of_twilight	35
while	36
steps_of_staircase	37
minor_storage_chamber_connected_through_doorway	38
ground_level	39
dust	40
attempts	41
railing	42
southern_wall	43
that	44
five_points	45
my_name	46
minor_storage_chamber_connected_to_study_through_doorway_in_wall	47
crowded_with_objects_much_like_shadows	48
storage_chamber	49
winding_staircase	50
is_lost_in_thoughts.	51
silhouette_against_clear_star	52
stone_wall	53
statue_here	54
that_of_man	55
hazy_objects	56
whole_ground_level_of_tower	57
his_eyes	58
something_approaching	59
Storage	60
wall	61
human_body	62
monster	63
flash_fades	64
doorway_wall	65
i	66
his_sleep	67
wall_above_table	68
its_brightness	69
yellow_paper_here	70
minor_storage_chamber_connected_through_doorway_in_northern_wall	71
exit_to_north	72
tired	73
black_paint	74
place	75
other_room	76
northern_wall	77
him	78
sounds	79
metal	80
low_voice	81
fragments.'_He_looks_around_the_chamber_and_says_with_despair_in_his_voice,_'My_God,_where_am_I?_Will_my_nightmares_never	82
ng_ngah_h	83
silhouette_against_star	84
smaller_room	85
new_element	86
nothing	87
hardly_portable	88
you	89
other	90
very_long	91
poem	92
silent_silhouette	93
oak	94
Void	95
steps	96
exit_to_down	97
walls	98
glow	99
tired_of_this	100
your_dream	101
before_dream	102
covered_with_carvings_each	103
room	104
two_vials	105
flash_fades_away	106
your_idea_for_charles	107
steep_roofs	108
Bristow_and_I_studied_archeology_and_history_in_New_England._Something_terrible_happened_but_of_that_I_can_recall_only	109
wrought	110
history	111
roof_of_tower_built_of_crumbling_masonry	112
roof	113
unconscious_body	114
so_tired	115
storage_this	116
covered	117
Hall	118
minor_storage_chamber	119
silent	120
each	121
something	122
iron_key	123
reason	124
emitted	125
outlines_of_furnishings	126
despair_in_his_voice	127
unbearable_level	128
storage_chamber_connected_through_doorway	129
Study	130
massive	131
different	132
wedged	133
last_steps_of_staircase	134
mysterious	135
artist	136
minor_storage_chamber_connected_to_study_through_doorway	137
shapes	138
crude_oak_logs	139
study	140
exit_to_up	141
man_falls_silent_for_a_while,_and_then_he_says	142
colours	143
black_stone	144
green_powder	145
writing	146
minor_storage_chamber_connected_to_study_through_doorway_in_northern_wall	147
god	148
charles	149
storage_chamber_connected	150
confused	151
several_attempts	152
damp_hall	153
perplexed	154
long	155
key	156
his_voice	157
domes	158
yellow_paper	159
yellow_paper_on_shelves	160
oak_door	161
crowded_with_objects_like_shadows	162
so_tired_of_this	163
abysses_of_coloured_twilight	164
paint	165
hideous	166
desk	167
this	168
bristow	169
lined	170
strange_sounds	171
mysterious_glow	172
wrought_iron_key_here	173
humans	174
he	175
minor	176
three_points	177
In_your_current_state_of_fear_your_mind_and_body_refuse_to_cooperate.	178
object	179
light	180
hazy	181
peculiar_green_powder	182
human	183
your	184
statue	185
cold_metal	186
hideous_statue_here	187
walking	188
surfaces_in_room	189
powder	190
green_glow	191
carvings	192
minor_storage_chamber_connected	193
tries_to_open_the_door_and_says_'It's_locked._Do_you_know_where_the_key_is?'	194
shadows	195
whole_ground_level	196
vial	197
your_idea	198
concept	199
unconscious_human_body	200
black_stone_table	201
archeology_in_new_england	202
man_opens_his_eyes,_and_sits_up_on_the_table._In_response_to_your_many_questions_the_man_simply_states_that_he_can't	203
storage_chamber_connected_to_study	204
rhetorical	205
abysses	206
iron_key_here	207
stone_table	208
crowded	209
storage_chamber_connected_through_doorway_in_wall	210
peculiar_powder	211
confused_man	212
an	213
here	214
table	215
in_his_voice,_'My_God,_where_am_I?_Will_my_nightmares_never_end?'	216
limitless_abysses	217
home	218
oak_logs	219
despair	220
amnesia	221
man_asks_who_you_are._You_tell_him_about_your_dream,_and_how_you_ended_up_here.	222
spacious_chamber	223
webs	224
spider_webs	225
silent_silhouette_against_star	226
thoughts	227
