	0
elevator	1
first_bathroom	2
angrier	3
holiday_inn_registration_room	4
<<_Video_Store_>>	5
exit_to_west	6
information	7
proportion_to_rest	8
exit_to_down	9
office_>>	10
white	11
that_game_you_scored_120_out_of_a_possible_360,_in_234_turns.	12
wall	13
rhetorical	14
<<_McDonalds_>>	15
exit_to_north	16
pistol	17
grotesquely_proportion	18
is_rest_of_hallway	19
guard	20
help	21
guy	22
<<_Outside_>>	23
dazed_man	24
its_mouth	25
dazed_man_seems_to_calm_down_for_a_moment,_but_suddenly_attacks._Its_mouth_opens_to_reveal_teeth_grotesquely_out_of	26
still_video_store	27
look	28
walk	29
room	30
give	31
paper	32
still_hallway	33
game	34
<<_Alley_>>	35
abstracted	36
outside	37
dazed	38
small_black_pistol	39
crack	40
restore	41
dazed_man_seems_to_be_getting_angrier!	42
east	43
floor	44
<<_Back_of_Music_Store_>>	45
130	46
him	47
that	48
still_outside	49
hallway_of_large_house_of_mayor	50
<<_Mayor's_house_>>	51
wood	52
<<_Dining_room_>>	53
backroom_of_brickbuster_video	54
<<_Backroom_>>	55
<<_Living_room_>>	56
little_flowers_on_it	57
proportion_to_rest_of_its_body	58
pink	59
<<_Bathroom_>>	60
<<_Holiday_Inn_>>	61
he	62
teeth	63
paper_note	64
<<_Upstairs_hallway_>>	65
west	66
grotesquely_proportion_to_rest_of_its_body	67
<<_Guest_Room_>>	68
exit_to_south	69
<<_Police_Station_>>	70
end_of_hallway	71
piece	72
<<_hallway_>>	73
long	74
is_rest	75
mcdonalds	76
<<_Closet_>>	77
ten_points	78
closet	79
food	80
proportion	81
exit_to_up	82
guest_room	83
small	84
gun	85
<<_Chief's_office_>>	86
<<_Dead_End_>>	87
chief	88
back_of_music_store	89
piece_of_paper	90
cold	91
north	92
note	93
to_the_rest_of_its_body,_a_fact_you_notice_as_those_same_teeth_tear_your_flesh_into_tiny_pieces.	94
video_store_called	95
alley	96
that_game_you_scored_110_out_of_a_possible_360,_in_140_turns.	97
moment	98
still_hallways	99
<<_Holiday_Inn_15th_Floor_>>	100
you	101
piece_of_white_paper	102
<<_Music_Store_>>	103
your_score	104
man	105
bedroom	106
wallpaper	107
music_store	108
120	109
street	110
3rd_precinct_police_station	111
grotesquely_proportion_to_rest	112
exit_to_east	113
south	114
flowers	115
wild_look	116
dead_end	117
rest	118
dead	119
wooden_wood	120
living_room	121
chief_'s_office	122
still_streets	123
end	124
his	125
full	126
flowers_on_it	127
to_west_is_rest	128
<<_Bedroom_>>	129
score	130
dining_room	131
little_flowers	132
nothing	133
angrier_abstracted	134
your_way	135
small_closet	136
you_like_to_RESTART,_RESTORE_a_saved_game,_give_the_FULL_score_for_that_game_or_QUIT?	137
weapon	138
to_west_is_rest_of_hallway	139
restart	140
be_getting	141
<<_Hallway_>>	142
110	143
hallway	144
You_have_died_***	145
that_game_you_scored_110_out_of_a_possible_360,_in_146_turns.	146
wooden	147
house_at_scene_of_crime	148
nothing_of_intrest	149
