	0
gelatinous_body_suit	1
ghastly_style	2
exit_to_northwest	3
theater_'s_aisle	4
inscription	5
exit_to_west	6
west_to_oversized_stage	7
lizard	8
entire_length_of_auditorium	9
exit_to_northeast	10
rather_austere	11
spot_above	12
cd	13
this	14
hallway	15
that_game_you_scored_0_out_of_a_possible_100,_in_6_turns,_earning_you_the_rank_of_would-be_adventurer.	16
long_row_along_edge_of_stage	17
depicting	18
You_have_died_***	19
must_your_lucky_day	20
candle_covered_by_small_round_lens	21
rhetorical	22
dog	23
gelatinous	24
curtain	25
performances	26
tunnel	27
sponge	28
primitive_statuary	29
his_best_impression_of_al_vezza	30
candle_covered_by_small_lens	31
grandeur_of_parts_of_cultural_center	32
that_game_you_scored_5_out_of_a_possible_100,_in_13_turns,_earning_you_the_rank_of_would-be_adventurer.	33
forest_of_stunted_trees	34
your_attire	35
in_other_directions_have_arranged_in_maze_of_passages	36
rhapsodizes_about_the_virtues_of_ZIL,_but_offers_the_opinion_that_a_faster_compiler_would_have_been_nice.	37
hewn_inscription	38
glowing/fur	39
little	40
northeast	41
suction	42
looking_salesman	43
clear	44
entire_length	45
pair_of_scaly_gloves_(being_worn)	46
grandeur_of_parts	47
forest	48
implementers	49
Changing_Room	50
oracles_10_zorkmids	51
made	52
expansive_area_surrounded_by_large_throne_like_seats	53
row_along_edge_of_stage	54
that_game_you_scored_0_out_of_a_possible_100,_in_8_turns,_earning_you_the_rank_of_would-be_adventurer.	55
his_impression	56
blank	57
entrance_of_gue_convention_center	58
legend	59
grandeur	60
cavernous_auditorium	61
frobnia	62
turns_to_Mike_and_says,_"Have_I_ever_told_you_about_the_time_I_worked_on_CD-I?--"_and_is_immediately_cut_off_by_a_rather	63
mike_comments	64
most_elaborate	65
bust_looks_wistful._"Sigh,"_he_sighs._"Oh_for_the_olden,_golden_days_of_yore."	66
it.	67
that_game_you_scored_5_out_of_a_possible_100,_in_49_turns,_earning_you_the_rank_of_would-be_adventurer.	68
memory	69
ponders_that_if_God_spelled_backward_is_Dog,_what's_that_do_for_Bob?_Or_Otto?	70
friezes	71
row_along_front_edge	72
built	73
gloves	74
row_along_front_edge_of_stage	75
they_had_gone_to_graphic_adventures_earlier	76
blue_lens_directly_in_center_of_stage	77
they_had_gone_few_years_earlier	78
other	79
berlyn	80
odd_salesman	81
inevitability	82
long_row_along_front_edge_of_stage	83
we	84
decomposing	85
blood	86
that_game_you_scored_5_out_of_a_possible_100,_in_22_turns,_earning_you_the_rank_of_would-be_adventurer.	87
candy	88
rubble	89
brass_lantern	90
popcorn	91
memory_of_great_implementers_figures	92
bust_does_a_double-take._"Hmm,"_he_hmms._"Not_a_bad-looking_specimen,_though_back_in_the_old_days,_they_built_`em	93
dimwit	94
they_had_gone_to_adventures_few_years_earlier	95
tourist_traffic	96
exit_to_up	97
have_designed_mainly_with_performances_in_mind	98
bust	99
reputed	100
odd_looking_salesman	101
ponders_the_inevitability_of_entropy,_describing_what_the_heat-death_of_the_Universe_means_to_him._Mike_snores_quietly	102
length_of_auditorium	103
ante_room	104
elaborate_in_gue	105
long_aisle	106
theater	107
have_designed_mainly_with_live_performances_in_mind	108
infocom	109
porcelain	110
talk_among_themselves	111
lizard_like_mask	112
rather_forest_of_stunted_trees	113
adventures	114
lantern	115
west	116
offhandedly_comments_on_your_attire_in_an_altogether_unflattering_manner.	117
spiked	118
Museum_of_Illusion	119
they_had_gone_to_adventures_earlier	120
you_like_to_RESTART,_RESTORE_a_saved_game,_give_the_FULL_score_for_that_game_or_QUIT	121
lantern_flickers_and_goes_out.	122
long_row	123
is_now_pitch_dark_in_here!	124
they_had_gone_to_graphic_adventures_years_earlier	125
humanoid	126
adorned	127
stranger	128
great_implementers	129
in_other_directions_have_arranged	130
marc	131
they_had_gone_to_graphic_adventures	132
them	133
long_row_along_edge	134
bob	135
style_of_gue_'s_grotesque_period	136
imposing_ante_room	137
grandeur_of_other_parts_of_cultural_center	138
they_had_gone_to_adventures_years_earlier	139
large_hallway	140
exit_to_north	141
adventure	142
eyed	143
that_game_you_scored_5_out_of_a_possible_100,_in_8_turns,_earning_you_the_rank_of_would-be_adventurer.	144
each	145
larger_area	146
eye	147
main_aisle	148
mike	149
lamp	150
blistered	151
still_glowing	152
scaly	153
correct,_you_might_easily_take_offense_at_that_sort_of_comment.	154
east	155
changing	156
slot	157
graphic_adventures	158
have_designed_with_live_performances_in_mind	159
like	160
paint	161
austere	162
your_rough_treatment	163
turns_a_baleful_eye_to_your_lantern._"You_could_get_a_better_one_of_those_in_a_box_of_cereal,"_he_says._If_he_weren't_so	164
themselves	165
spot_somewhere_above	166
mike_'s_bust	167
manner	168
those	169
personages	170
they_had_gone_years_earlier	171
armor	172
ceiling	173
area	174
live_performances	175
has_blocked_by_gigantic_translucent_boulders	176
museum	177
proscenium	178
you	179
south	180
those_on_science_fiction_adventure_game_box	181
bloody	182
that	183
seats	184
roughly_hewn_inscription	185
lifelike	186
large_proscenium	187
boulders	188
floor	189
wistful	190
baby	191
inevitability_of_entropy	192
his_best_impression	193
they_had_gone_to_adventures	194
slimy	195
mike_'s_eyes	196
length	197
style	198
candle	199
his	200
that_game_you_scored_0_out_of_a_possible_100,_in_5_turns,_earning_you_the_rank_of_would-be_adventurer.	201
comments_on_the_weather,_or_lack_thereof,_on_the_surface_of_Contra.	202
aisle	203
have_designed_mainly_with_performances	204
candle_covered_by_round_lens	205
baleful_eye	206
gue_history	207
in_other_directions_have_arranged_in_maze_of_twisty_passages	208
New_Excavation	209
ways_to_wings	210
razor	211
thrones	212
salesman	213
north	214
thrones_with_backs	215
him	216
Seating_Area	217
live_performances_in_mind	218
forest_of_trees	219
parser	220
have_designed_with_performances_in_mind	221
have_designed_with_live_performances	222
long_row_along_front_edge	223
thrones_with_wooden_backs	224
row_along_edge	225
they	226
ways	227
that_game_you_scored_5_out_of_a_possible_100,_in_21_turns,_earning_you_the_rank_of_would-be_adventurer.	228
spot	229
multi	230
mask	231
altogether_unflattering_manner	232
in_other_directions_have_arranged_in_maze	233
it	234
exit_to_south	235
rather_forest	236
gores	237
candle_covered	238
made_sword	239
those_on_famous_science_fiction_adventure_game_box	240
elaborate	241
day	242
enough	243
cartoonish_friezes	244
statuary	245
designed	246
body_suit	247
brass_lantern_(providing_light)	248
his_hand	249
attempt	250
's_do_for_bob	251
presence	252
brass	253
entrance	254
implementeers	255
transparent	256
throne	257
his_eyes	258
god_spelled	259
directly_center_of_stage	260
stumpy	261
west_to_stage	262
gue	263
considered	264
aisles	265
its	266
footlights	267
stairs	268
double_take	269
postcards	270
likely	271
exit_to_down	272
candle_covered_by_lens	273
most_elaborate_in_gue	274
postcard_from_frobnia	275
Tunnel	276
lantern_dims_a_little.	277
cheaply-made_sword	278
your_lantern	279
narrow_aisles	280
take	281
"Yes."	282
chicken	283
Souvenir_Stand	284
that_game_you_scored_5_out_of_a_possible_100,_in_7_turns,_earning_you_the_rank_of_would-be_adventurer.	285
his_head	286
grotesque_period	287
postcard	288
entrance_of_narrow_waist_high_tunnel	289
dedicated	290
marc_'s_bust	291
hardly_portable	292
looking_wistful,_asks_Mike_whether_they_would_still_be_considered_Great_Implementers_if_they_had_gone_to_graphic	293
ghastly_style_of_gue_'s_grotesque_period	294
anyone	295
seating_area	296
auditorium	297
rather_forest_of_trees	298
they_had_gone_to_graphic_adventures_few_years_earlier	299
blue_lens	300
still_considered	301
theater_reputed	302
they_had_gone_earlier	303
red_lens	304
fish	305
mirror	306
debris	307
suits	308
reading	309
memory_of_implementers_figures	310
comments_absently_on_the_recent_lack_of_tourist_traffic_in_the_GUE.	311
have_designed_mainly	312
sword	313
cultural_center	314
exit_to_east	315
unflattering_manner	316
cheaply_made_sword	317
your_treatment	318
personages_unknown	319
history	320
company	321
no!_A_lurking_grue_slithered_into_the_room_and_devoured_you!	322
thrones_with_high_backs	323
have_designed_mainly_with_live_performances	324
Convention_Center_Lobby	325
mind	326
yellow	327
rainbow	328
al_vezza	329
talk	330
row	331
pock	332
your	333
fungus	334
starts_to_nod_off,_but_Marc_clears_his_throat_loudly,_snapping_him_back_to_attention.	335
thrones_with_high_wooden_backs	336
a_few_years_earlier.	337
gargoyles	338
performances_in_mind	339
theater_'s_main_aisle	340
openings	341
hairy	342
's_do	343
eyes	344
boards	345
hall	346
year	347
i	348
set	349
have_designed	350
his_impression_of_al_vezza	351
they_had_gone	352
Cultural_Complex	353
entrance_to_three_rooms	354
Stage	355
have_designed_with_performances	356
Darkness	357
counter	358
scaly_gloves	359
glowing	360
door	361
designed_mainly	362
sign	363
high_wooden_backs	364
Theater	365
busts	366
grandeur_of_other_parts	367
narrow_tunnel	368
lens	369
entrance_to_three_smallish_rooms	370
Hall_of_Science_Lobby	371
notice	372
