	0
festooned	1
right	2
in_small_meadow_meadow_at_back_separated_from_forest_by_rickety_fence	3
stones	4
daisy	5
soooo_scared_on_path_in_forest_on_path_winding	6
cottage	7
little_hand_are_pointing_to_number_twelve	8
one_side_of_porch	9
in_meadow_meadow_at_back_separated_by_fence	10
rhetorical	11
at_fork_fork	12
soooo_scared	13
in_small_meadow_meadow_at_back_of_cottage_separated_by_fence	14
Lost_in_the_forest	15
meadow_at_back_of_cottage_separated_from_forest_by_rickety_fence	16
shawl	17
little_hand_on_my_wristwatch_are_pointing	18
question	19
little_hand_on_my_wristwatch_are_pointing_to_number_twelve	20
front_door	21
hand_are_pointing_to_number_twelve	22
door	23
small_meadow_at_back	24
in_meadow_small_meadow_at_back_of_cottage_separated_from_forest	25
game	26
ramshackle_structure	27
scared_on_path_on_path	28
in_other_direction_trees	29
overripe_pumpkin	30
in_small_meadow_meadow_at_back_separated_by_fence	31
in_small_meadow_small_meadow_separated_from_forest	32
scared_on_path	33
small_meadow_at_back_of_cottage	34
east	35
uh	36
front	37
big_hand_hand_on_my_wristwatch_are_pointing	38
in_garden_garden_alongside_cottage	39
in_small_meadow_meadow	40
direction	41
soooo_so_tired	42
in_small_meadow_small_meadow_separated_by_rickety_fence	43
meadow_separated_by_rickety_fence	44
meadow_at_back_of_cottage_separated_by_rickety_fence	45
in_meadow_meadow_separated_from_forest_by_fence	46
trunk	47
On_the_porch	48
in_meadow_small_meadow_at_back_separated_from_forest	49
in_meadow_small_meadow_separated_from_forest_by_rickety_fence	50
in_meadow_meadow_separated	51
crumpled_note	52
full_score_for_game	53
west	54
In_the_garden	55
in_meadow_small_meadow_separated_by_rickety_fence	56
somewhere_comes	57
tree_theme	58
soooo_scared_on_path	59
enchanted_forest	60
small	61
in_forest_path_winding_through_enchanted_forest	62
plant	63
turbine	64
battered_dustbin	65
small_meadow_at_back_separated_from_forest_by_fence	66
garden	67
small_meadow_separated_from_forest	68
small_meadow_at_back_separated_from_forest	69
in_meadow_small_meadow_at_back	70
hand_little_hand_are_pointing_to_number_twelve	71
must_elsewhere_darts_back_into_forest	72
note	73
mouthful_of_hay	74
big_hand_little_hand_are_pointing_to_number_twelve	75
battered_old_dustbin	76
on_path_in_forest_path	77
path	78
think	79
trunks	80
ooh_time	81
sure	82
sleep	83
meadow_at_back_separated	84
hay	85
small_meadow_at_back_of_cottage_separated_from_forest_by_fence	86
rickety_fence	87
tired...	88
soooo_scared_tired	89
score_for_game	90
wilderness_of_tall_straight_trees	91
distressed	92
big_bad_wolf	93
gold	94
in_shed_shed	95
ornamental	96
in_meadow_meadow_at_back_separated_from_forest	97
's	98
At_a_fork_in_the_path	99
in_small_meadow_small_meadow_at_back_separated_from_forest	100
in_meadow_small_meadow_at_back_of_cottage_separated_from_forest_by_rickety_fence	101
big_hand_little_hand_on_my_wristwatch_are_pointing_to_number_twelve	102
small_meadow_at_back_of_cottage_separated_from_forest	103
score	104
sleepy_in_clearing	105
comes	106
little_garden_alongside_cottage	107
scared_so_tired	108
scared_on_path_on_path_winding	109
sleepy	110
they	111
in_potting_shed_shed	112
Sorry,_what_was_that_you_said?_I'm_having_trouble_concentrating...	113
in_small_meadow_small_meadow_separated	114
in_meadow_meadow_at_back_of_cottage_separated_by_rickety_fence	115
exit_to_west	116
must_darts_back_into_forest	117
at_fork_in_path_fork_in_path	118
wolf	119
his_forehead	120
somewhere_comes_the_blood-curdling_howl_of_a_wolf...	121
in_small_meadow_small_meadow	122
in_small_meadow_meadow_separated	123
scared_in_forest_on_path	124
small_meadow_separated_by_rickety_fence	125
In_a_small_meadow	126
in_meadow_small_meadow_at_back_separated	127
little_hand_are_pointing	128
scared_on_path_in_forest_on_path_winding	129
crimson_shawl	130
meadow_at_back_of_cottage_separated_from_forest_by_fence	131
log_here	132
in_meadow_meadow_at_back_separated_from_forest_by_rickety_fence	133
soooo_scared_in_forest_on_path_winding_through_enchanted_forest	134
ooh	135
ooh_soooo_time	136
in_small_meadow_small_meadow_at_back_separated_by_fence	137
in_meadow_small_meadow_at_back_of_cottage_separated	138
scared_on_path_in_forest_on_path_winding_through_enchanted_forest	139
in_small_meadow_small_meadow_at_back_of_cottage_separated	140
give	141
in_meadow_meadow_at_back_separated	142
in_garden_little_garden	143
in_meadow_small_meadow_at_back_of_cottage_separated_by_fence	144
really_sleepy_in_clearing	145
In_the_potting_shed	146
must_elsewhere_darts	147
meadow_at_back	148
restore	149
in_shed_potting_shed	150
old_dustbin	151
scared_on_path_on_path_winding_through_enchanted_forest	152
meadow_at_back_separated_by_rickety_fence	153
big_hand_hand_on_my_wristwatch_are_pointing_to_number_twelve	154
in_small_meadow_small_meadow_at_back_of_cottage_separated_by_rickety_fence	155
in_meadow_meadow_at_back_of_cottage	156
plot	157
on_path_path_winding_through_enchanted_forest	158
in_meadow_meadow_at_back_of_cottage_separated_from_forest_by_fence	159
in_small_meadow_meadow_at_back_of_cottage_separated_from_forest_by_rickety_fence	160
small_meadow_at_back_separated	161
small_meadow_at_back_of_cottage_separated_by_fence	162
ooh_soooo_scared_time	163
in_small_meadow_small_meadow_at_back_of_cottage	164
scattered	165
exit_to_south	166
trackless_wilderness_of_tall_straight_trees	167
path_winding	168
must_darts_back	169
screwed	170
scared_on_path_in_forest_on_path	171
scared_on_path_winding	172
at_fork_in_path_fork	173
lost	174
scared	175
in_small_meadow_meadow_at_back_of_cottage_separated_from_forest	176
one	177
porridge	178
she	179
marked_fishing_tackle	180
log	181
way	182
little_garden	183
meadow_separated	184
in_small_meadow_meadow_separated_from_forest_by_fence	185
north	186
large	187
in_meadow_small_meadow_at_back_of_cottage	188
in_small_meadow_meadow_at_back_separated_by_rickety_fence	189
mighty_trunks	190
s	191
big_hand_little_hand_are_pointing	192
clearing	193
in_meadow_meadow_at_back	194
leaves	195
in_small_meadow_meadow_separated_by_rickety_fence	196
in_meadow_meadow_separated_from_forest_by_rickety_fence	197
on_path_path_winding	198
house	199
in_small_meadow_small_meadow_at_back_of_cottage_separated_from_forest_by_rickety_fence	200
exit_to_east	201
old	202
south	203
its_way_from_north_towards_west	204
small_meadow_separated	205
in_meadow_meadow_at_back_separated_from_forest_by_fence	206
big_hand_are_pointing	207
in_garden_garden	208
his	209
small_meadow_separated_from_forest_by_rickety_fence	210
soooo_scared_in_forest_on_path	211
in_meadow_meadow_separated_by_rickety_fence	212
scared_tired	213
mouthful	214
closed	215
small_meadow_at_back_of_cottage_separated_by_rickety_fence	216
bang	217
big_hand_are_pointing_to_number_twelve	218
In_a_clearing_in_the_forest	219
hand_on_my_wristwatch_are_pointing_to_number_twelve	220
spot	221
side_of_garden	222
rhetorical_question	223
in_small_meadow_small_meadow_at_back_separated_from_forest_by_fence	224
dress	225
marked_path	226
bunions	227
watched	228
at_fork_fork_in_path	229
meadow_separated_by_fence	230
in_small_meadow_small_meadow_at_back	231
must_elsewhere_darts_back	232
its_way_from_north	233
in_small_meadow_meadow_at_back_of_cottage	234
blood_curdling_howl_of_wolf	235
fence	236
porch_of_three_bears_'_cottage	237
meadow_separated_from_forest	238
cobwebs	239
in_meadow_meadow_at_back_of_cottage_separated_by_fence	240
meadow_at_back_of_cottage	241
small_meadow_at_back_separated_by_fence	242
wind	243
on_path_path	244
sign	245
large_wooden_sign	246
in_small_meadow_small_meadow_at_back_separated_by_rickety_fence	247
can_hardly_keep_my_eyes_open...	248
my	249
in_small_meadow_meadow_separated_from_forest_by_rickety_fence	250
place	251
milkbottle	252
wristwatch	253
trackless_wilderness_of_tall_trees	254
cow	255
in_small_meadow_small_meadow_at_back_of_cottage_separated_from_forest	256
metal_trunk	257
wooden_sign	258
in_meadow_small_meadow_separated	259
different_way	260
trackless_wilderness_of_straight_trees	261
In_the_enchanted_forest_(on_the_log)	262
tree_theme_going	263
hangover	264
small_meadow_at_back_of_cottage_separated	265
hand_on_my_wristwatch_are_pointing	266
really_sleepy_in_clearing_in_forest	267
tired	268
hand_hand_are_pointing_to_number_twelve	269
number_twelve	270
scared_in_forest_on_path_winding_through_enchanted_forest	271
my_chances	272
in_small_meadow_small_meadow_separated_from_forest_by_fence	273
must_darts	274
in_small_meadow_small_meadow_separated_from_forest_by_rickety_fence	275
in_meadow_meadow_separated_by_fence	276
on_path_in_forest_path_winding_through_enchanted_forest	277
hand_hand_on_my_wristwatch_are_pointing	278
fork	279
hand_hand_are_pointing	280
pergola	281
axminsters	282
bad	283
wilderness_of_straight_trees	284
other_side_of_garden	285
little	286
fork_in_path	287
on_path_in_forest_path_winding	288
good_night	289
in_small_meadow_small_meadow_at_back_of_cottage_separated_from_forest_by_fence	290
small_meadow_at_back_separated_from_forest_by_rickety_fence	291
meadow_at_back_of_cottage_separated_from_forest	292
from_bush	293
vegetable_plot	294
in_small_meadow_small_meadow_at_back_of_cottage_separated_by_fence	295
in_meadow_small_meadow_at_back_separated_from_forest_by_fence	296
rickety	297
in_forest_path	298
in_meadow_small_meadow_at_back_of_cottage_separated_by_rickety_fence	299
ooh_scared_time	300
help_feeling_I'm_being_watched...	301
path_winding_through_enchanted_forest	302
soooo_scared_on_path_on_path_winding	303
in_small_meadow_small_meadow_separated_by_fence	304
exactly_same	305
soooo_scared_on_path_in_forest_on_path_winding_through_enchanted_forest	306
old_metal_trunk	307
in_small_meadow_meadow_separated_from_forest	308
carpetworld_aged_six	309
meadow_at_back_of_cottage_separated_by_fence	310
you	311
in_small_meadow_meadow_at_back	312
In_the_enchanted_forest	313
hand_are_pointing	314
meadow_at_back_separated_from_forest_by_fence	315
one_side	316
small_meadow	317
big_hand_little_hand_on_my_wristwatch_are_pointing	318
old_pedlar	319
small_meadow_at_back_separated_by_rickety_fence	320
clearing_in_forest	321
shed	322
big_hand_hand_are_pointing	323
trees	324
soooo_scared_on_path_in_forest_on_path	325
hand_hand_on_my_wristwatch_are_pointing_to_number_twelve	326
soooo_scared_so_tired	327
meadow_separated_from_forest_by_fence	328
in_forest_path_winding	329
potting_shed	330
scared_in_forest_on_path_winding	331
pretty_sure	332
wilderness	333
in_meadow_small_meadow_separated_from_forest_by_fence	334
in_small_meadow_meadow_at_back_separated	335
empty_milkbottle	336
meadow_at_back_separated_from_forest_by_rickety_fence	337
wristwatch_(being_worn)	338
side	339
restart	340
in_garden_little_garden_alongside_cottage	341
blood_curdling_howl	342
my_chances_of_good_night_'s_sleep	343
in_meadow_meadow_separated_from_forest	344
little_hand	345
wooden	346
garden_alongside_cottage	347
"distressed"_Laura_Ashley_dress_(being_worn)	348
soooo_scared_on_path_on_path	349
in_small_meadow_meadow_at_back_of_cottage_separated_by_rickety_fence	350
ratty	351
meadow_at_back_separated_by_fence	352
in_small_meadow_small_meadow_at_back_separated	353
exit_to_down	354
in_meadow_small_meadow_separated_from_forest	355
small_meadow_separated_by_fence	356
so_tired	357
tights	358
quit	359
wall	360
trackless_wilderness	361
overgrown_pergola	362
soooo	363
time	364
exit_to_north	365
dark	366
in_meadow_meadow_at_back_of_cottage_separated_from_forest_by_rickety_fence	367
needs	368
blocked_by_brambles	369
in_path_fork	370
wilderness_of_tall_trees	371
me	372
fishing_tackle	373
other_side	374
in_small_meadow_meadow_separated_by_fence	375
that	376
full_score	377
my_eyes_open	378
soooo_scared_on_path_on_path_winding_through_enchanted_forest	379
pause	380
meadow_separated_from_forest_by_rickety_fence	381
in_forest_lost_in_forest	382
in_meadow_meadow_at_back_separated_by_rickety_fence	383
he	384
mangey	385
small_meadow_separated_from_forest_by_fence	386
other	387
large_sign	388
in_small_meadow_meadow_at_back_separated_from_forest	389
in_meadow_small_meadow_at_back_separated_from_forest_by_rickety_fence	390
in_meadow_meadow	391
soooo_scared_on_path_winding	392
forest	393
must_darts_into_forest	394
big_hand	395
trackless_wilderness_of_trees	396
my_chances_of_night_'s_sleep	397
feeling_really_sleepy...	398
pair	399
in_path_fork_in_path	400
sides	401
in_meadow_small_meadow_at_back_separated_by_rickety_fence	402
in_meadow_meadow_at_back_of_cottage_separated	403
soooo_scared_in_forest_on_path_winding	404
sleepy_in_clearing_in_forest	405
blocked	406
saved_game	407
small_meadow_at_back_of_cottage_separated_from_forest_by_rickety_fence	408
scared_on_path_winding_through_enchanted_forest	409
hand	410
in_meadow_small_meadow_at_back_of_cottage_separated_from_forest_by_fence	411
little_path	412
must_elsewhere_darts_into_forest	413
moment	414
in_meadow_small_meadow	415
other_direction	416
which	417
meadow_at_back_of_cottage_separated	418
porch	419
in_small_meadow_meadow_at_back_separated_from_forest_by_fence	420
awkward_pause	421
in_small_meadow_meadow_at_back_of_cottage_separated	422
-_what's_that?_I_could_have_sworn_I_saw_a_pair_of_big,_yellow_eyes_staring_at_me_through_the_leaves...	423
lost_among_axminsters_at_carpetworld_aged_six	424
open	425
pedlar	426
hand_little_hand_are_pointing	427
windows	428
On_a_path_in_the_forest	429
pumpkin	430
sunny_spot	431
dustbin	432
side_of_house	433
soooo_scared_on_path_winding_through_enchanted_forest	434
roof	435
really_sleepy	436
hand_little_hand_on_my_wristwatch_are_pointing_to_number_twelve	437
in_meadow_small_meadow_separated_by_fence	438
what_appears	439
i	440
his_bunions	441
metal	442
meadow_at_back_separated_from_forest	443
in_small_meadow_small_meadow_at_back_separated_from_forest_by_rickety_fence	444
wilderness_of_trees	445
big_hand_hand_are_pointing_to_number_twelve	446
in_meadow_meadow_at_back_of_cottage_separated_from_forest	447
meadow	448
its_way	449
same	450
in_potting_shed_potting_shed	451
soooo_tired	452
hand_little_hand_on_my_wristwatch_are_pointing	453
in_small_meadow_meadow_at_back_of_cottage_separated_from_forest_by_fence	454
brambles	455
in_meadow_small_meadow_at_back_separated_by_fence	456
