	0
silver_coin	1
path	2
hills_in_directions	3
cedarwood_box	4
it	5
magic_burin	6
grasslands	7
wings	8
inscribed	9
fear_getting	10
shiny_scroll	11
glow	12
box	13
shiny_scroll_(of_the_bozbar_spell)	14
bozbar_spell	15
you	16
Ramshackle_Hut	17
valley	18
quite_recently	19
windows	20
spell_book_here	21
pile_of_oats	22
slowly_inscribed	23
pocket_valley_a_pleasant_pocket_valley	24
matchwood	25
horse_did	26
open	27
closer_look	28
rezrov	29
cedarwood_box_(which_is_closed_and_locked)	30
spell	31
wooden	32
shiny	33
glassless	34
objects	35
old_cedarwood_box	36
grassy_hills	37
rhetorical	38
cedarwood	39
my	40
brightness	41
silver	42
exit_to_up	43
oats	44
book	45
animal	46
low_hills	47
silver_coin_here	48
munching_on_pile	49
frotz	50
gnusto	51
munching	52
burin	53
pleasant_pocket_valley	54
someone	55
south	56
your_score	57
chestnut	58
spell_book	59
slowly_ornately_inscribed	60
trail	61
chestnut_horse	62
bozbar	63
coin	64
hut	65
hills	66
yomin	67
munching_on_pile_of_oats	68
light	69
your_spell_book	70
now_matchwood	71
north	72
horse	73
Grasslands,_near_Hut	74
Pocket_Valley	75
burin_here	76
that	77
furniture	78
ornately_inscribed	79
out_nothing	80
magic_burin_here	81
magic	82
scroll	83
pile	84
exit_to_south	85
look	86
hardly_portable	87
sure	88
recently	89
exit_to_north	90
words	91
five_points	92
