	0
ruins_of_stone_lighthouse	1
layer_of_dust	2
south_have_now_magically_placed	3
two_points	4
exit_to_east	5
round	6
you_sit	7
huge	8
tightly_folded	9
clearing_amongst_trees	10
rather_stale	11
hover	12
inn_cellar_cellar	13
lamp	14
wood_pigeons	15
uneven_floor	16
its_surface_crunching	17
road	18
bubble_of_marsh_gas_coming_to_surface	19
red_dust_of_broken_bone	20
chair_here	21
you	22
doorway	23
old_boot	24
far_distance	25
entrance	26
soft_calls_of_woodland_birds	27
way	28
parachute_(being_worn)	29
occasional_groups_of_bones_in_crevices	30
Inside_the_Lighthouse_Ruins	31
feeling_of_tranquility_instilled_by_placid_waters	32
ancient_coin	33
corner	34
feeling_instilled	35
look_around_for_them	36
windows	37
natural_cavern	38
large_box	39
your_hand	40
sparrowhawk	41
ground	42
have_stood_since_beginning_of_time	43
have_now_placed	44
passageway	45
twisting_path	46
large_box_full_of_parts_(which_is_open)	47
signpost	48
crashing_sound_in_your_ears	49
no	50
open	51
dragon	52
south_have_magically_placed_into_game	53
lie_to_south	54
Cottage	55
butterflies	56
white	57
south_have_now_magically_placed_back	58
feeling_of_tranquility_instilled_by_placid_lazy_waters	59
flanks	60
large_box_full_of_parts	61
carved_chair	62
Inn_Cellar	63
groups_in_shadowy_crevices	64
ruined_lighthouse	65
dragonflies	66
dust_of_broken_white_bone	67
have_now_placed_back	68
power	69
have_stood_since_beginning_of_time_itself	70
silver	71
water	72
occasional_bubble_of_gas_coming_to_surface	73
green	74
red_dust_of_white_bone	75
its_surface_crunching_beneath_your_boots	76
dirty_white	77
laughing	78
sight	79
mass_of_reeds	80
its_buildings	81
have_stood_here_since_beginning	82
occasional_bubble_of_marsh_gas_coming_to_surface	83
south_have_now_placed_into_game	84
rocky_mountains	85
groups_of_white_bones_in_shadowy_crevices	86
in_which_reed_flute	87
south	88
Swampy_Ground	89
south_have_now_placed_back	90
beach	91
brass	92
large_box_full_of_parts_(which_is_open_but_empty)	93
have_magically_placed_back	94
ruins	95
which	96
they	97
branches	98
groups_in_crevices	99
occasional_groups_in_crevices	100
pile_of_bones	101
shut	102
thin_layer	103
sea	104
long_reeds	105
large_cardboard_box_here	106
feeling_instilled_by_waters	107
tree_stump	108
cry	109
North_End_of_a_Road	110
barrels_here	111
look_for_them	112
bicycle	113
oak_door_dark	114
floor	115
pewter_mug_(full)	116
gulls	117
iron_key	118
flagstones_of_path_leading	119
folded	120
your_ankles	121
ancient_silver_coin	122
groups_of_white_bones_in_crevices	123
dust	124
occasional_groups	125
mass	126
grey_ferns	127
exit_to_north	128
Cave_Entrance	129
those	130
somehow_shut	131
peel	132
remains	133
crashing_sound	134
arms	135
have_magically_placed_back_into_game	136
mouldy_old_boot	137
rotten	138
south_have_now_placed_back_into_game	139
feeling_instilled_by_placid_lazy_waters	140
woodland	141
parachute	142
ruins_of_old_stone_lighthouse	143
paintwork	144
cardboard	145
forest_pathway_grey_ferns	146
leading	147
south_have_placed_back_into_game	148
dense_trees	149
large_cardboard_box	150
forest	151
ancient_forest	152
south_have_now_magically_placed_into_game	153
old_building_by_path	154
wooden_signpost	155
little_man	156
flagstones_of_path_leading_up	157
spiky_patches_marram	158
brown_hessian_sack	159
nail_behind_door_here	160
wooden_table	161
shut_tight	162
something	163
thin_layer_of_dust	164
your_kneecaps	165
forest_dragonflies_hum	166
roof	167
brass_lamp	168
prints	169
saddle	170
west_deeper_into_forest	171
swampy_ground	172
huge_dragon	173
exit_to_west	174
thatched_building	175
steel_grey_of_sea	176
all	177
cave	178
instruction_sheet	179
calls_in_trees	180
Lake_in_the_Forest	181
black_iron_plate	182
soft_calls_of_wood_pigeons_in_trees	183
Inside_the_Inn_(on_the_magnificently_carved_chair)	184
dunes	185
have_carved_from_copper	186
south_have_placed_into_game	187
small_silver_bell_here	188
groups_of_white_bones	189
its_surface_crunching_slightly_beneath_your_boots	190
have_now_magically_placed	191
croaking_of_frogs	192
feeling_instilled_by_lazy_waters	193
west	194
leaves	195
spiky_patches	196
your_lips	197
passage	198
huge_dragon_here	199
bubble	200
start_of_deserted_gravel_road	201
tiny_cottage	202
wooden	203
old_thatched_building	204
start_of_deserted_gravel_road_to_north	205
bubble_of_marsh_gas_coming	206
bones	207
closeby	208
cottage_nestling	209
calls_of_woodland_birds	210
its_gravelled_surface_crunching	211
have_stood_here_since_beginning_of_time_itself	212
lake_in_forest_dragonflies_hum	213
pewter_mug	214
have_carved_from_polished_copper	215
fire	216
nail_behind_door	217
silver_bell	218
lake	219
leading_into_darkness	220
little	221
large_box_full_of_parts_(which_is_closed)	222
tiny	223
large_oak_door_dark	224
castle_forge	225
formed	226
woodworm_hands	227
locked	228
covered	229
occasional_groups_of_white_bones	230
Tree_Stump	231
barrels	232
Rocky_Mountains	233
old_castle	234
little_man_here	235
out_south	236
glint_of_water	237
feeling_of_tranquility_instilled	238
oak_door	239
occasional_bubble_of_marsh_gas_coming	240
your_score	241
ruins_of_round_room	242
south_have_magically_placed	243
have_now_magically_placed_into_game	244
smoke	245
Beside_a_Ruined_Lighthouse	246
soft_calls_in_trees	247
crashing_sound_of_waves	248
start	249
coiled	250
tree_stump_path	251
Wasteland_by_a_Castle	252
there	253
mountains	254
dark_carved_wooden_chair	255
old_building	256
decay	257
feeling_of_tranquility	258
trees	259
hollow	260
its_immense_wings	261
salt_spray	262
old	263
have_placed_into_game	264
feeling_of_tranquility_instilled_by_lazy_waters	265
waste	266
your_ears	267
steps	268
beast	269
south_have_magically_placed_back	270
have_stood_here_since_beginning_of_time	271
box_full_of_parts	272
them	273
sack	274
float_in_air	275
exit_to_south	276
exit_to_down	277
Inside_a_Cottage	278
walls	279
feeling	280
its_surface_crunching_slightly	281
magnificently_carved_chair	282
just_those	283
something_fatal	284
reed	285
silver_coin	286
patches	287
man	288
coiled_in_corner	289
steel_grey	290
south_have_placed	291
ferns	292
croaking	293
have_now_magically_placed_back	294
have_formed_under_inn	295
animals	296
mountain_heart	297
east	298
feeling_of_tranquility_instilled_by_waters	299
groups	300
occasional_bubble_of_gas_coming	301
south_have_now_placed	302
your_surroundings	303
occasional_bubble_of_gas	304
sky	305
trees_south	306
box	307
layer	308
start_of_gravel_road	309
reeds_here	310
dimly_branches	311
hessian_sack	312
your_new_surroundings	313
forge	314
its_wings	315
winding_into_trees	316
