	0
north_south_passage_covered_from_top_to_bottom_with_spongy_moss	1
looks_like_scene	2
lava	3
after_minutes_can_seen_beneath_dirt	4
score_for_game_of_eternal_light_spell	5
midway_through_north	6
that_game_you_scored_0_out_of_a_possible_90,_in_294_turns,_earning_you_the_rank_of_Primordial_Ooze_Candidate.	7
that_game_you_scored_0_out_of_a_possible_90,_in_234_turns,_earning_you_the_rank_of_Primordial_Ooze_Candidate.	8
stream	9
molten_plain	10
as_little_time	11
that_game_you_scored_0_out_of_a_possible_90,_in_25_turns,_earning_you_the_rank_of_Primordial_Ooze_Candidate.	12
gleaming_silver_sword	13
that_game_you_scored_0_out_of_a_possible_90,_in_203_turns,_earning_you_the_rank_of_Primordial_Ooze_Candidate.	14
game_of_eternal_light_spell	15
northeast	16
dim_light	17
that_game_you_scored_2_out_of_a_possible_90,_in_548_turns,_earning_you_the_rank_of_Primordial_Ooze_Candidate.	18
one_of_its_spiny_petals	19
tunnel	20
vapor	21
plain	22
yourself	23
exit_to_southwest	24
crack	25
one_its_petals_in_your_honor	26
quite_tight	27
used_to_in_underground	28
exit_to_northeast	29
its_petals_in_your_honor	30
roof	31
north_south_passage	32
sort_of_round_object	33
perfectly_round_hole_sifting_from_it	34
you_are_about	35
passage_covered_from_top_to_bottom_with_soft_moss	36
south_passage_covered_from_top_to_bottom	37
that_game_you_scored_0_out_of_a_possible_90,_in_192_turns,_earning_you_the_rank_of_Primordial_Ooze_Candidate.	38
East_West_Passage	39
full_score_for_game_of_eternal_light_spell	40
skeleton	41
alcove	42
gaping_lava_tube	43
that_game_you_scored_0_out_of_a_possible_90,_in_139_turns,_earning_you_the_rank_of_Primordial_Ooze_Candidate.	44
bag_of_lye	45
to_underground	46
south_passage_covered_from_top_with_spongy_moss	47
exit_to_south	48
score_for_game_of_light_spell	49
round_hole_with_vapor	50
smooth_tunnel	51
as_time_here	52
pursuit_of_jewel_of_knowledge	53
that_game_you_scored_0_out_of_a_possible_90,_in_140_turns,_earning_you_the_rank_of_Primordial_Ooze_Candidate.	54
areas	55
most	56
that_game_you_scored_0_out_of_a_possible_90,_in_232_turns,_earning_you_the_rank_of_Primordial_Ooze_Candidate.	57
south_passage_covered_from_top_to_bottom_with_soft_spongy_moss	58
a_torrent_and_momentarily_knocks_you_off_your_feet!	59
down_moss_embedded_into_your_skin	60
rank	61
scene	62
distinctly_smell	63
cavernous_room	64
round_hole_with_vapor_slowly_sifting	65
guard	66
all_place	67
thick_layer	68
that_game_you_scored_0_out_of_a_possible_90,_in_461_turns,_earning_you_the_rank_of_Primordial_Ooze_Candidate.	69
would_you_like	70
covering	71
about_10_meters	72
exit_to_east	73
moving	74
you_walk	75
magic	76
0	77
porous_cratered_wall	78
score_for_game	79
most_of_rocks	80
little_time	81
passage_covered	82
obviously_created	83
sentinels_standing	84
bit	85
west	86
sentinels	87
affectionate_kiss	88
question	89
featureless_chute	90
jagged_teeth_from_cave_'s_walls	91
object	92
stone_steps	93
hole_sifting_from_it	94
ordinary_room	95
just_enough	96
earth_'s_surface	97
what_looks	98
surrounded_on_sides_by_expanse	99
exit_to_west	100
field_of_fossilized_outcroppings	101
lose	102
can_seen	103
surface	104
stalagmites	105
most_of_rocks_in_area	106
sight_of_it	107
cramped_closet	108
also	109
sides	110
crashing_back_down	111
that_game_you_scored_0_out_of_a_possible_90,_in_202_turns,_earning_you_the_rank_of_Primordial_Ooze_Candidate.	112
hell	113
as_little_time_here	114
exit_to_southeast	115
thick_layer_of_dirt	116
narrow_crack	117
round_hole_slowly_sifting	118
