	0
RING*_-_chigger_bites_-_old_fashioned_lamp	1
water_axe_sign	2
your_whole_body	3
large_misty_room_with_strange_letters_over_exits	4
bites_-_rusty_axe_(magic_word-_BUNYON_-on_it)	5
exit_to_west	6
FRUIT*_-_evil_smelling_mud	7
axe	8
bites_-_old_fashioned_lamp_-_evil_smelling_mud_-_chiggers	9
lamp_has_run_out_of_power.	10
-_rusty_axe_(magic_word-_BUNYON_-on_it)	11
misty_room_large_misty_room_with_strange_letters_over_exits	12
of_skeleton_keys_-_evil_smelling_mud_-_old_fashioned_lamp_-_chiggers	13
fashioned_lamp_-_evil_smelling_mud	14
fashioned	15
hidden_grove	16
shore_of_lake	17
mud_dried_up_and_fell_off.	18
wall	19
exits	20
mud_water_golden_fish_rusty_axe_sign	21
rhetorical	22
RING*	23
FRUIT*_-_evil_smelling_mud_-_rusty_axe_(magic_word-_BUNYON_-on_it)	24
sign	25
patch	26
writing	27
-_infected_chigger_bites_-_old_fashioned_lamp	28
of_skeleton_keys_-_chiggers	29
evil_smelling_mud_water_fish_rusty_axe_sign	30
fashioned_lamp_-_rusty_axe_(magic_word-_BUNYON_-on_it)	31
evil_smelling_mud_water_golden_fish_axe_sign	32
cypress	33
chigger_bites_-_old_fashioned_lamp_-_chiggers	34
fish_-_infected_chigger_bites	35
smelling_mud_water_golden_fish_axe_sign	36
bites_-_chiggers_-_old_fashioned_lamp_-_evil_smelling_mud	37
chigger_bites_-_chiggers_-_rusty_axe_(magic_word-_BUNYON_-on_it)	38
bracelet	39
-_dead_fish	40
ring	41
bites_-_old_fashioned_lamp_-_chiggers	42
whole_body	43
infected	44
Branch	45
shore	46
golden_fish_water_axe	47
ceiling	48
bites_-_old_fashioned_lamp	49
rusty_axe_golden_fish_water_sign	50
-_ring_of_skeleton_keys	51
axe_(magic_word-_BUNYON_-on_it)_-_infected_chigger_bites	52
fashioned_lamp_-_infected_chigger_bites_-_*JEWELLED_FRUIT*_-_chiggers	53
bites_-_chiggers_-_old_fashioned_lamp	54
chigger_bites_-_rusty_axe_(magic_word-_BUNYON_-on_it)_-_chiggers	55
bites_-_*JEWELLED_FRUIT*_-_chiggers_-_evil_smelling_mud	56
-_*DIAMOND_RING*_-_chigger_bites_-_old_fashioned_lamp_-_evil_smelling_mud	57
fish	58
skeleton	59
no_swimming_allowed_lakeside	60
statue	61
axe_golden_fish_water_sign	62
chigger_bites_-_chiggers	63
smelling_mud_-_old_fashioned_lamp_-_chiggers	64
chigger_bites_-_old_fashioned_lamp_-_*JEWELLED_FRUIT*_-_chiggers	65
east	66
FRUIT*	67
dismal_swamp	68
top_of_tall_cypress_tree	69
bites_-_chiggers_-_dead_fish	70
that	71
it	72
tree	73
spider	74
axe_(magic_word-_BUNYON_-on_it)_-_chiggers	75
bites_-_chiggers_-_evil_smelling_mud_-_old_fashioned_lamp	76
smelling_mud_-_rusty_axe_(magic_word-_BUNYON_-on_it)	77
-_evil_smelling_mud	78
skeleton_keys_water_golden_fish_sign	79
-_old_fashioned_lamp	80
Forest	81
water_fish_rusty_axe_sign	82
mud_water_fish_axe_sign	83
chigger_bites_-_rusty_axe_(magic_word-_BUNYON_-on_it)_-_*JEWELLED_FRUIT*	84
no	85
bites_-_evil_smelling_mud_-_old_fashioned_lamp	86
bites_-_ring_of_skeleton_keys_-_old_fashioned_lamp_-_chiggers	87
water_golden_fish_axe_sign	88
no_swimming_allowed_water	89
FRUIT*_-_chiggers_-_infected_chigger_bites_-_old_fashioned_lamp	90
fashioned_lamp	91
RING*_-_chigger_bites_-_old_fashioned_lamp_-_evil_smelling_mud	92
golden_fish_water_sign	93
bitten_by_chiggers.	94
slime	95
Room	96
bites_-_chiggers_-_rusty_axe_(magic_word-_BUNYON_-on_it)	97
strange_letters_over_exits	98
FRUIT*_-_infected_chigger_bites_-_old_fashioned_lamp	99
fashioned_lamp_-_infected_chigger_bites	100
bites_-_*JEWELLED_FRUIT*_-_chiggers_-_old_fashioned_lamp	101
chigger_bites_-_chiggers_-_old_fashioned_lamp	102
evil_mud_water_golden_fish_rusty_axe_sign	103
quick_sand_bog	104
fashioned_lamp_-_chigger_bites_-_chiggers_-_evil_smelling_mud	105
evil	106
blue	107
-_ring_of_skeleton_keys_-_infected_chigger_bites	108
chigger_bites_-_old_fashioned_lamp	109
water_rusty_axe_sign	110
lamp_is_getting_dim.	111
west	112
axe_(magic_word-_BUNYON_-on_it)_-_chigger_bites_-_chiggers	113
STATUE_OF_A_BLUE_OX*_-_rusty_axe_(magic_word-_BUNYON_-on_it)	114
now_infected	115
exit_to_south	116
down	117
your_chigger_bites	118
evil_mud_water_golden_fish_axe_sign	119
FRUIT*_-_chigger_bites_-_chiggers_-_old_fashioned_lamp	120
Tree_Top	121
forest	122
axe_(magic_word-_BUNYON_-on_it)	123
of_skeleton_keys_-_old_fashioned_lamp_-_chiggers	124
FISH*_-_chigger_bites	125
misty	126
FRUIT*_-_chiggers_-_old_fashioned_lamp	127
-_chigger_bites_-_old_fashioned_lamp_-_evil_smelling_mud	128
golden_fish_water_rusty_axe	129
RING*_-_old_fashioned_lamp	130
smelling_mud_-_chiggers	131
-_evil_smelling_mud_-_ring_of_skeleton_keys	132
large_misty_room	133
exit_to_up	134
bites_-_ring_of_skeleton_keys	135
web	136
small	137
fashioned_lamp_-_chigger_bites_-_chiggers	138
chigger_bites	139
bites_-_evil_smelling_mud	140
FRUIT*_-_infected_chigger_bites	141
no_swimming_allowed	142
smelling_mud_-_old_fashioned_lamp	143
evil_smelling_mud_water_golden_fish_rusty_axe_sign	144
nothing_special	145
