	0
low	1
armadillo	2
judge	3
clothing_department	4
Office_Building	5
dudes	6
exit_to_west	7
cute_couple	8
cake	9
Downtown	10
exit_to_down	11
623_convenient_california_locations	12
up_north	13
handwritten	14
Thompson,"_says_the_judge,_"I've_had_about_enough_of_you_wasting_this_court's_time._Unless_you_can_demonstrate_a_clear	15
wall	16
Office_Building,_Second_Floor	17
department	18
Clothing_Department	19
cosmetics_department_shelves	20
barkley	21
going	22
exit_to_north	23
hairspray	24
northeast	25
pizza_parlor	26
exit_to_southeast	27
anything	28
lightning	29
door_labelled	30
guy	31
sewer_vent	32
just_dudes	33
clothing_department_at_barkley_'s	34
Behind_the_Counter	35
see_a_woman_hail_a_taxi_and_drive_off.	36
Street,_Near_Courthouse	37
door	38
normal_dudes_here_in_city	39
bustling_law_office	40
gunther_pretty_unremarkable	41
man_and_a_woman_walk_by_holding_hands._They_make_a_cute_couple.	42
Cosmetics_Department	43
day	44
just_nameless_dudes	45
normal_dudes	46
box	47
store	48
clerk	49
center	50
center_of_downtown_san_doppleton	51
east	52
middle_of_mr._tasty_'s_pizza_parlor	53
doofus	54
floor	55
large_pizza	56
cheese	57
Courthouse	58
623_california_locations	59
guy_in_a_business_suit_walks_past_you.	60
honor,_I_wish_you_would_reconsider,"_says_the_district_attorney._"The_defendant_has_a_long_history_of_disappearances,_and	61
parlor	62
just_normal_dudes_here_in_city	63
office_door_labelled	64
file	65
cake_for_prisoner	66
on_hearsay._Now,_I_recommend_you_gather_some_solid_evidence_when_you_prepare_for_the_trial,_because_the_minimal_research	67
office_building	68
downtown_san_doppleton	69
main_drag	70
up_south	71
edge	72
shelves	73
window	74
Roof_of_Office_Building	75
mr._tasty	76
john_winnick	77
exit_to_northeast	78
normal_nameless_dudes	79
going_today	80
teenaged_girls_go_by_carrying_shopping_bags.	81
is_counsel's_opinion_that_he_will_not_be_around_in_a_week_to_stand_trial._I_recommend_transporting_him_to_a_more_secure	82
attorney	83
normal_nameless_dudes_here	84
rider	85
district_attorney_tries_hopelessly_to_plead_her_case.	86
district_attorney_tries_desperately_to_convince_the_judge_that_Guido_"The_Armadillo"_Calzone_plans_to_escape,_but_it's	87
to_public_safety,_I'm_going_to_recommend_that_Mr._Calzone_be_transported_to_a_minimum_security_prison_pending_further	88
other	89
defendant	90
His_trial_is_to_be_held_next_week."_The_district_attorney_is_clearly_not_happy_with_this_pronouncement.	91
just_normal_nameless_dudes	92
just_dudes_here	93
west	94
bars	95
lined	96
she_won't_get_anywhere_without_more_evidence.	97
exit_to_south	98
just_nameless_dudes_here	99
men_bump_into_each_other._They_murmur_apologies_and_go_their_separate_ways.	100
stairs	101
nameless_dudes	102
normal_dudes_here	103
doors	104
business_district	105
their_ways	106
exit_to_up	107
west_wall	108
behind_counter_counter_at_mr._tasty_'s_pizza_parlor	109
do	110
just_nameless_dudes_here_in_city	111
dudes_here	112
couple	113
sewer	114
teenaged_girls	115
nothing_special	116
nobody	117
north	118
prisoner	119
large	120
note	121
business_suit	122
fronds	123
heart_of_san_doppleton_'s_drag	124
just_normal_nameless_dudes_here	125
san_doppleton	126
handwritten_note	127
sure	128
east_here	129
nameless_dudes_here	130
their_separate_ways	131
Office_Building,_Third_Floor	132
supposed	133
woman	134
nothing_special_about_west_wall	135
just_normal_nameless_dudes_here_in_city	136
you	137
bottles_of_perfume	138
just_dudes_here_in_city	139
pizza	140
man	141
southwest	142
all	143
Pizza_Parlor	144
wife	145
just_normal_dudes	146
counter_at_mr._tasty_'s_pizza_parlor	147
crowded_courthouse	148
hardware	149
street	150
bottles	151
lawyer	152
exit_to_east	153
south	154
racks	155
sidewalk	156
edge_of_town	157
hardware_department_at_barkley_'s	158
heart	159
exit_to_southwest	160
just_normal_dudes_here	161
exit_to_northwest	162
courthouse	163
normal_nameless_dudes_here_in_city	164
roof	165
calzone	166
big_ugly_low_rider_cruises_by,_blaring_rap_music_loud_enough_to_make_the_sidewalk_shake.	167
heart_of_san_doppleton_'s_main_drag	168
office	169
Street,_by_Pizza_Parlor	170
nameless_dudes_here_in_city	171
nothing	172
office_door	173
opinion_is_duly_noted,_Miss_Thompson,"_says_the_judge_sarcastically._"But_the_fact_is,_the_'long_history'_you_refer_to_is	174
apologies	175
vent	176
barkley_'s_department_store	177
her	178
metal	179
taxi	180
shopping_bags	181
Street,_by_Department_Store	182
obviously_done_won't_be_enough_to_convict_the_defendant."	183
counter	184
roof_of_government_building	185
they	186
two_teenaged_girls	187
dudes_here_in_city	188
metal_file	189
sewer_vent_nearby	190
Law_Office	191
southeast	192
office_doors	193
Hardware_Department	194
large_pizza_box	195
district	196
gunther_unremarkable	197
