	0
all	1
your_tent_in_encampment	2
ignite	3
toilet	4
exit_to_up	5
your	6
few_times	7
ground	8
party	9
signal	10
Center_of_Camp	11
your_attention	12
roboff_'s_tent_to_south	13
radio	14
that	15
Storage_Tent	16
east	17
radio_button	18
completely_deserted	19
deserted	20
tent_to_south	21
button	22
sweating	23
its_supplies	24
floor	25
west	26
arrows	27
brass_torch	28
torch_(providing_light)	29
your_tent	30
ancient_jeweled_amulet	31
entire_place	32
wall	33
ignite_button	34
handle	35
self	36
note	37
exit_to_south	38
several_arrows	39
south	40
roboff_'s_tent	41
shovel	42
place	43
exit_to_down	44
rhetorical	45
open_desert	46
times	47
mr._meshugge	48
Roboff's_Tent	49
in_your_tent_your_tent_in_encampment	50
you	51
brass	52
In_Your_Tent	53
encampment	54
roboff	55
torch	56
jeweled_amulet	57
desert	58
francisco_roboff_'s_tent	59
amulet	60
ancient_amulet	61
everything	62
supplies	63
torch_button	64
exit_to_west	65
