	0
brother_tuffberry_'s_quarters_vacant	1
your_room_in_monastery	2
top_of_short_downwards_slope_into_snowy_area_below	3
end_of_east_west_hallway	4
tiny_mouse_scurries_into_view,_then_disappears_under_a_barrel.	5
path	6
open_cloister	7
Hallway_(basement)	8
blocked_after_short_distance_by_snow_drift	9
where_covered_in_blanket_of_snow	10
exit_to_east	11
effort	12
prayer	13
downwards	14
east	15
Your_Quarters	16
path_east	17
Bottom_of_Snowy_Slope	18
anything	19
back_slope	20
exit_to_northeast	21
where_covered_in_blanket	22
northeast	23
Hades	24
window	25
top_into_area_below	26
cliff_face_to_west	27
pine_trees	28
sitting_squat_in_middle	29
top_into_snowy_area_below	30
clearing_ringed_by_trees	31
various_shrubs	32
small_cramped_storeroom_stocked_with_various_crates	33
flour	34
paper	35
flame	36
Storeroom	37
prayer_book	38
swirling_snow	39
thin_journal	40
wide_smooth_river_of_ice	41
southwest	42
top_of_short_downwards_slope_into_snowy_area	43
top_of_downwards_slope	44
large_boulder	45
you	46
Monastery_Chapel	47
steeple	48
long	49
On_Frozen_River	50
where_covered_in_light_blanket	51
hallway_on_second_floor_of_monastery	52
exit_to_west	53
preparing_table	54
all	55
sleeping_pallet	56
shelves_of_various_books	57
empty_space	58
your_way	59
where_covered	60
top_of_short_downwards_slope	61
middle_of_clearing	62
members_of_order	63
copy	64
barrel	65
blocked_after_distance_by_huge_snow_drift	66
Hallway_(east_end)	67
small_trail	68
end_of_west_hallway	69
end	70
top_of_downwards_slope_into_snowy_area	71
blocked_after_short_distance_by_huge_snow_drift	72
devoted_visitor	73
top	74
her	75
cozy_cramped_room	76
boulder	77
Brother_Palemon's_Quarters	78
clearing_ringed_by_pine_trees	79
covered_in_light_blanket_of_snow	80
torn_page	81
Monastery_Kitchen	82
west_end	83
blocked	84
copy_of_the_Holy_Scriptures	85
rod	86
west	87
sitting_squat	88
brother_toolbox_'s_quarters	89
North_of_Frozen_River	90
wall	91
ceiling	92
lone_tree	93
quarters	94
note	95
air	96
stone_marker	97
monastery_library	98
covered_in_blanket_of_snow	99
top_of_downwards_slope_into_area	100
slope	101
dirty	102
covered_in_light_blanket	103
shrubs	104
brother_pufpistery	105
mountain_trail	106
brother_toolbox	107
Cloister_Walkway	108
clearing_ringed	109
pallet	110
top_of_downwards_slope_into_snowy_area_below	111
sitting_in_middle	112
paths	113
hallway_in_monastery_basement	114
west_end_of_east_west_hallway	115
rest	116
top_of_peak_of_gray_mountains	117
sand	118
top_of_mountain	119
Covered_Trail	120
rhetorical	121
unusual_effort	122
center_of_intersection	123
domain	124
tree	125
my	126
east_end_of_west_hallway	127
exit_to_southwest	128
other	129
rocky_mountain_trail	130
exit_to_up	131
your	132
Cliff_Face	133
huge_snow_drift	134
filled_crossroads	135
scriptures	136
Entrance_Hall	137
book	138
stone	139
his	140
snow_drift	141
Hallway_(near_quarters_of_Palemon_and_TuffBerry)	142
Refectory	143
chants	144
east_end_of_east_west_hallway	145
monastery_gardens	146
frotz	147
Steeple_Room	148
covered	149
Rocky_Mountain_Trail	150
here	151
chant	152
covered_in_blanket	153
gnusto	154
stairs	155
exit	156
east_end	157
Private_Meditation_Room	158
Monastery_Gardens	159
Top_of_Snowy_Slope	160
joseph	161
hallway	162
south	163
unused_nearby	164
Monastery_Library	165
greeted	166
brother_joseph_'s_quarters	167
west_end_of_west_hallway	168
Hallway_(near_your_quarters)	169
many_devoted_visitor	170
trail	171
distance	172
journal	173
Brother_TuffBerry's_Quarters	174
Hallway_(west_end)	175
cliff_face	176
clearing	177
shelves	178
short_distance	179
round_room_with_colored_glass_windows	180
trees	181
only_exit	182
blocked_after_distance_by_snow_drift	183
center	184
Refectory_(on_the_sleeping_pallet)	185
bank	186
middle	187
north	188
page	189
top_of_downwards_slope_into_area_below	190
top_of_short_downwards_slope_into_area_below	191
mountain_top	192
Hallway_(second_floor,_west)	193
small_bare_chamber	194
that	195
refectory	196
snow	197
brother_palemon_'s_quarters	198
huge_soup_cauldron	199
down_small_snow	200
table	201
brother_joseph	202
sitting	203
floor	204
sitting_squat_in_middle_of_clearing	205
Snowy_Outcropping	206
rose	207
scroll	208
sack	209
Hallway_(second_floor,_east)	210
exit_to_south	211
top_into_snowy_area	212
Mountain_Peak	213
exit_to_down	214
where_covered_in_light_blanket_of_snow	215
monastery_chapel	216
place	217
top_into_area	218
top_of_snowy_mountain_peak	219
brother_palemon	220
down_snow	221
Your_Quarters_(on_the_sleeping_pallet)	222
sitting_in_middle_of_clearing	223
unused	224
top_of_short_downwards_slope_into_area	225
Snowy_Intersection	226
exit_to_north	227
south_bank	228
large_stone_marker	229
Hallway_(near_your_quarters)_(on_the_sleeping_pallet)	230
river	231
soup_cauldron	232
