	0
grave_marker	1
oak_trees	2
twisted	3
you_scramble	4
exit_to_west	5
northeast_wall	6
exit_to_down	7
muddy_path	8
weeds	9
grave	10
driveway	11
gravel	12
wall	13
wind	14
filling_behind_you	15
rhetorical	16
something	17
its_faded_facade	18
massive	19
unmentionable_sustenance	20
West_Side_of_the_Church	21
oak	22
last_service	23
more	24
exit_to_north	25
northeast	26
exit_to_southeast	27
lightning	28
faint	29
wild	30
debris	31
gate_to_east	32
guard	33
twisted_oaks	34
faint_path	35
the_wind_and_rain_slacken_then_return_with_renewed_force.	36
hail_pounds	37
North_Side_of_the_Church	38
ceiling	39
steeple_of_church	40
huge_oaks	41
their_vehicles	42
facade	43
ivy_covered_barrier	44
muddy	45
moldy_ground	46
crack	47
northwest	48
moss_covered	49
east	50
driveway_runs	51
broken	52
arcs_overhead,_followed_instantly_by_a_blast_of_thunder.	53
them	54
that	55
front	56
it	57
muddy_trail	58
church_clean	59
smaller_limb	60
handful_of_gravel	61
window	62
hole	63
lightning_arcs	64
exit_to_northeast	65
rain	66
church	67
dog_growls_at_you_threateningly.	68
dog	69
ivy_barrier	70
other	71
west_side	72
wash	73
storm_is_trying	74
southwest_wall	75
west	76
a_brief_moment,_hail_pounds_against_you_then_subsides.	77
sustenance	78
rampant	79
In_the_Mud	80
exit_to_south	81
east_wall	82
window_frames	83
only_exit	84
has_broken	85
window_frames_seeming	86
brief_moment	87
large_branch	88
chain	89
gate	90
wild_here	91
muddy_water	92
exit_to_up	93
building	94
southeast_wall	95
more_than_water	96
west_wall	97
a_loud_CRACK,_a_bolt_of_lightning_strikes_the_steeple_of_the_church.	98
sides	99
its_faded_white_facade	100
markers	101
stone	102
north	103
open_window_frames_seeming	104
its_facade	105
it_see	106
loud_crack	107
East_Side_of_the_Church	108
diseased	109
handful	110
path	111
overhead	112
moment	113
your_path	114
everything	115
clearing	116
earth	117
you	118
bolt	119
worshippers	120
moss	121
southwest	122
blast_of_thunder_rattles_the_ground.	123
northwest_wall	124
branches	125
grasses	126
formidable	127
exit	128
more_than_mere_water	129
mud	130
ivy	131
storm	132
south_wall	133
exit_to_east	134
south	135
cracked_sidewalk	136
world_living	137
guard_dog	138
sidewalk	139
windows	140
trees	141
huge_twisted_oaks	142
front_of_church	143
open_window_frames	144
limbs	145
held_long_ago	146
exit_to_southwest	147
filling_in_hole_behind_you	148
Front_of_the_Church	149
steeple	150
graveyard	151
exit_to_northwest	152
held	153
services	154
surrounded_on_sides_by_iron	155
service	156
untended	157
blankly_overhead	158
filling	159
held_ago	160
blast	161
trail	162
unable	163
you_threateningly	164
its_chain	165
broken_limb	166
weed	167
Graveyard	168
mold	169
its_way	170
side	171
almost_storm_is_trying	172
branches_seeming	173
world	174
its_white_facade	175
marker	176
limb	177
water	178
stone_markers	179
their_storm	180
southeast	181
ground	182
disturbed_grave	183
oak_branch	184
oaks	185
branch	186
blast_of_thunder	187
sky	188
north_wall	189
thunder	190
fence	191
filling_in_hole	192
