	0
repairman_yelps	1
catalog	2
room_seemingly_cobbled_over_course	3
cringing_from_harsh_light	4
Ground_Floor_Stacks	5
upwards_to_second_level	6
two_points	7
exit_to_east	8
downwards	9
key_to_rare_books_room	10
side_of_room	11
disgrace	12
are_kicked_out_of_the_library_without_the_needed_biography,_and_so_you_flunk_the_course,_drop_out_of_college_in_disgrace,	13
copy_of_debt_of_honor	14
few_notations_on_her_paperwork	15
young_woman	16
open_into_room	17
wiring	18
lobby	19
peon	20
you	21
doorway	22
entrance	23
Second_Floor_Stairwell	24
stairwell	25
rottweilers	26
corner	27
your_hand	28
id_card_here	29
pencil	30
drawer	31
card_catalog	32
id	33
word	34
open	35
private	36
flickering_flourescent_lighting	37
reference_librarian	38
repairman_yelps_ear_splitting_pop	39
word_of_power	40
flickering_lighting	41
big_smile	42
that_game_you_scored_6_out_of_a_possible_30,_in_121_turns.	43
that_game_you_scored_11_out_of_a_possible_30,_in_102_turns.	44
game	45
room_seemingly_cobbled	46
cloud_of_smoke	47
that_game_you_scored_11_out_of_a_possible_30,_in_93_turns.	48
large_friendly_letters	49
red	50
red_herring	51
picture	52
exit	53
novel_debt	54
south	55
acrid_smoke	56
cringing_from_light	57
labelled	58
ancient_word	59
security_gates	60
duplicating_services	61
circulation_desk_attendant_here	62
flourescent	63
Duplicating_Services	64
filled	65
circulation_attendant	66
room_cobbled_over_course_of_several_generations	67
novel_debt_of_honor	68
floor	69
circulation_desk_attendant	70
prim_young_woman	71
heavy_door_bars	72
biography	73
ground_floor_stairwell_grungy_stairs	74
exit_to_north	75
Game	76
that_game_you_scored_11_out_of_a_possible_30,_in_122_turns.	77
room_seemingly_cobbled_over_course_of_several_generations	78
copy_of_debt	79
room_seemingly_cobbled_together_over_course_of_generations	80
hollow_voice_whispers	81
shelves_as_far	82
collection	83
harsh_flourescent_light	84
letters	85
that_game_you_scored_13_out_of_a_possible_30,_in_126_turns.	86
seemingly_cringing_away_from_light	87
grungy_stairs	88
archway	89
novel	90
books_room	91
that_game_you_scored_2_out_of_a_possible_30,_in_84_turns.	92
glass_doors_open	93
private_in_friendly_letters	94
services_this	95
paper	96
room_seemingly_cobbled_together	97
printers	98
open_into_room_of_shelves	99
smoldering_pile	100
circulation_desk	101
voice_over_the_PA_system_announces_"It_is_now_4	102
exit_to_west	103
all	104
seemingly_cringing	105
piece_of_wire	106
woman	107
photocopier	108
that_game_you_scored_7_out_of_a_possible_30,_in_121_turns.	109
securely_fastened	110
west	111
ceiling	112
his_breath	113
like_there's_no_chance_of_getting_a_copy_made_now.....	114
spend_the_rest_of_your_days_as_the_peon_who_sorts_the_hate_mail_in_Microsoft's_mail_room.	115
seemingly_cringing_from_harsh_flourescent_light	116
sign_marked_in_large_letters	117
rhetorical	118
that_game_you_scored_2_out_of_a_possible_30,_in_123_turns.	119
services	120
order	121
your_ear	122
your	123
honor	124
heavy_wooden_door_bars	125
key_to_books_room	126
its_belly	127
output_of_dozen_computers	128
people	129
cloud	130
stairs	131
copier_technician	132
your_score	133
smoke	134
center_of_room	135
copy_of_"Debt_of_Honor"	136
that_game_you_scored_6_out_of_a_possible_30,_in_99_turns.	137
sign	138
upwards_to_level	139
friendly_letters	140
lit	141
cloud_smoke	142
room_cobbled_together_over_course_of_generations	143
shelves	144
ash	145
room_cobbled_over_course	146
library	147
signs	148
room_cobbled_together_over_course	149
painting	150
upwards	151
herring	152
kind_lettering	153
combined_output_of_dozen_computers	154
magazines	155
floor_stairwell_grungy_stairs	156
exit_to_south	157
exit_to_down	158
seemingly_cringing_away_from_harsh_light	159
immersed_in_novel	160
maze_of_twisty_shelves_all_alike	161
cloud_of_greasy_smoke	162
room_seemingly_cobbled_together_over_course_of_several_generations	163
gates	164
stacks	165
private_in_large_friendly_letters	166
seemingly_cringing_away_from_harsh_flourescent_light	167
rare	168
one_side_of_room	169
technician	170
technician_kicks_the_copier,_muttering_under_his_breath.	171
immersed	172
it	173
cringing_away	174
east	175
that_game_you_scored_15_out_of_a_possible_30,_in_125_turns.	176
cringing_away_from_flourescent_light	177
YOU_HAVE_LOST!_***	178
cloud_greasy_smoke	179
then_silent_again	180
few_notations	181
Lobby	182
seemingly_cringing_from_light	183
copier_room	184
key_here	185
glass_doors	186
level	187
ID_card	188
that_game_you_scored_14_out_of_a_possible_30,_in_124_turns.	189
Ground_Floor_Stairwell	190
door	191
private_in_letters	192
cringing_from_harsh_flourescent_light	193
sign_marked_in_large_friendly_letters	194
mess	195
debt_of_honor	196
notations_on_her_paperwork	197
notations	198
rest_of_your_days	199
fastened	200
room_of_shelves	201
door_bars	202
kicked	203
he	204
dark_corner_of_room	205
flourescent_light	206
that_game_you_scored_6_out_of_a_possible_30,_in_125_turns.	207
exit_to_up	208
that_game_you_scored_14_out_of_a_possible_30,_in_130_turns.	209
that_game_you_scored_7_out_of_a_possible_30,_in_132_turns.	210
seemingly_cringing_from_flourescent_light	211
his	212
second_level	213
technician_curses_under_his_breath_as_he_reaches_into_the_copier_and_yanks_on_some_unseen_component.	214
east_to_lobby	215
lights	216
you_like_to_RESTART,_RESTORE_a_saved_game,_give_the_FULL_score_for_that_game_or_QUIT	217
large_letters	218
second_floor_stacks	219
paperwork	220
southeast	221
cringing_away_from_harsh_light	222
that_game_you_scored_12_out_of_a_possible_30,_in_121_turns.	223
room_cobbled_together_over_course_of_several_generations	224
doors	225
sign_marked	226
room_cobbled_over_course_of_generations	227
copier	228
second_floor_stairwell_grungy_stairs	229
indescribable_blackness_forms	230
dim	231
center	232
desk	233
that_game_you_scored_11_out_of_a_possible_30,_in_114_turns.	234
cringing_from_flourescent_light	235
that_game_you_scored_1_out_of_a_possible_30,_in_95_turns.	236
that_game_you_scored_14_out_of_a_possible_30,_in_131_turns.	237
seemingly_cringing_away	238
pile	239
computer_room	240
room_cobbled	241
repairman_yelps_as_he_touches_the_wrong_wire,_and_with_an_ear-splitting_*POP*,_vanishes_in_a_cloud_of_greasy_smoke...	242
that_game_you_scored_14_out_of_a_possible_30,_in_128_turns.	243
dark_corner	244
damaged_picture	245
that_game_you_scored_14_out_of_a_possible_30,_in_138_turns.	246
prim_woman	247
five_points	248
cringing	249
seemingly_cringing_from_harsh_light	250
tangled_mess	251
same_kind_lettering	252
card	253
cringing_away_from_harsh_flourescent_light	254
obtained	255
debt	256
id_card	257
attendant	258
Computer_Lab	259
his_face	260
ash_continues_to_smoke,_leaving_an_acrid_odor_in_the_air.	261
