	0
can_also_see_a_light_switch,_a_bed_and_a_pressure_guage_here.	1
exit_to_up	2
guard	3
you	4
door_is_open	5
south	6
nothing_special	7
can_see_a_door,_a_bed_and_a_pressure_guage_here.	8
guage	9
cell	10
that	11
can_also_see_a_bed_(on_which_is_a_light_switch)_and_a_pressure_guage_here.	12
Steel_key	13
this	14
south_wall	15
act	16
floor	17
light_switch_here	18
positivity	19
nothing_of_interest_in_switch	20
can_see_a_Steel_key,_a_door,_a_bed_and_a_pressure_guage_here.	21
switch	22
interest	23
standards_officers	24
lights_switch_back_on_automatically.	25
can_see_a_door,_a_bed_(on_which_is_a_light_switch)_and_a_pressure_guage_here.	26
nothing_special_about_south_wall	27
nothing_special_about_floor	28
nothing_special_about_wall	29
switch_here	30
stones	31
board	32
nothing_of_interest_in_steel_key	33
way	34
here	35
nothing	36
him	37
little	38
bed	39
switch_on_bed	40
my_bones	41
spite_it._There's_a_heavily_built_door_to_the_south.	42
automatically	43
pressure	44
dirtier	45
can_see_a_door,_a_bed_(on_which_is_a_Steel_key)_and_a_pressure_guage_here.	46
steel_lights	47
prison	48
nothing_of_interest_in_door	49
nothing_of_interest	50
will_your_downfall	51
pressure_guage_here	52
open	53
you_ever_get	54
bed_here	55
dirt_factory._If_you_didn't_have_better_things_to_do,_you'd_be_in_the_right_mind_too_give_the_place_a_jolly_good_clean_just	56
light_switch_on_bed	57
spot	58
unable	59
can_also_see_a_bed_and_a_pressure_guage_here.	60
exit_to_south	61
negativity	62
can_also_see_a_bed_(on_which_is_a_Steel_key)_and_a_pressure_guage_here.	63
you_ever_get_out_of_here,_you_really_must_complain_to_the_prison's_standards_officers._This_place_is_dirtier_and_dustier_than	64
lights	65
place	66
door_here	67
can_also_see_a_Steel_key,_a_bed_and_a_pressure_guage_here.	68
can_see_a_door,_a_light_switch,_a_bed_and_a_pressure_guage_here.	69
steel_key_lights	70
already_on	71
button	72
nothing_of_interest_in_pressure_guage	73
already_off	74
room	75
on_which_light_switch	76
nothing_of_interest_in_light_switch	77
which	78
dangerous_act	79
wall	80
pressure_guage	81
switch_onto_floor	82
Cell	83
light_switch_onto_floor	84
on_which_switch	85
just_your_average_prisoner_regulation_bed	86
on_which_steel_key	87
say	88
light_switch	89
prison_'s_standards_officers	90
dirt_factory	91
key	92
you_get	93
Darkness	94
steel_key	95
steel	96
nothing_unexpected	97
steel_key_onto_floor	98
nothing_of_interest_in_south_wall	99
door	100
nothing_of_interest_in_wall	101
exit_to_down	102
can_see_a_light_switch,_a_door,_a_bed_and_a_pressure_guage_here.	103
nothing_special_about_door	104
can_see_a_door,_a_Steel_key,_a_bed_and_a_pressure_guage_here.	105
