	0
reclaimed_from_grade_school	1
nikolai_'s_lap_scarcely_conscious_with_trace_from_twin_teeth_marks	2
remnants_of_long_ago_dinner_specials	3
she	4
complex_mixture_of_odors	5
ritual	6
outside_your_jurisdiction	7
things_yourself	8
mounted_on_wall_near_his_office_entrance	9
your_respects	10
your_first_reflex	11
end_of_prep_table	12
few_degrees	13
seizures	14
bratislavan	15
actions	16
inside	17
otherwise_north_ceiling_tunnel	18
mounted	19
bar_counter	20
even_finer_shards_.19	21
unconscious_body	22
ms_kozyar	23
last_time	24
rickety_staircase	25
goldschmidt_'s_door	26
straight_unit_dish_machine_with_steel_dish_table_on_side	27
nikolai_'s_lap_conscious_with_trace_from_teeth_marks	28
articles	29
mounted_on_wall_high_above_near_his_office_entrance	30
nikolai_'s_lap_with_trace_from_twin_teeth_marks_in_her_neck	31
hannibal_'s_revue_.19	32
newspaper19th_street_east_window	33
newspaper_scrap	34
mini_fridge	35
can_grasped_without_aid_of_tie	36
nikolai_'s_lap_scarcely_conscious_with_trace	37
they_are_pointing_toward_you	38
warped_door	39
left	40
nikolai_'s_lap_with_just_trace_of_blood_dribbling_from_twin_teeth_marks	41
stairs	42
complex_mixture	43
gentle_autumn_breeze	44
notepad_.19_street_east_a_street-front_window	45
it	46
mound	47
window_to_goldschmidt_'s_pawnshop_on_side_of_19th_street	48
their_continued_immortality	49
safety_inspection	50
device	51
single_bulb	52
remain	53
larger_bar_area	54
more_than_hundred_varieties_of_pathogens	55
rectangular_dumpster	56
many_hard-luck_vagabonds	57
city_sanitarian	58
startled	59
low_to_floor	60
gallon_soup_cauldron	61
more_effect	62
wedged	63
closed_right_now	64
unnecessary_street_east_street-front_window	65
set	66
newspaper_.19_street_west	67
gurgle	68
mixture	69
newspaper19th_street_east_street-front_window	70
right_leg_wriggles_snakelike_into_location_below_woman_'s_torso	71
street_sweeper	72
interest_in_storm_drain_.19	73
except_that_in_concentrations_toxic	74
her_head	75
wheezing	76
now_dry_remnants_of_long_dinner_specials	77
nothing_of_interest_in_storm_drain_.19	78
unit_dish_machine_with_stainless_steel_dish_table	79
hand	80
aid_kit	81
crack_like_bone_breaking	82
sifting_through_ice	83
nikolai_'s_lap_scarcely_conscious_with_just_trace_from_teeth_marks_in_her_neck	84
dining_room_tables	85
just_trace_of_blood_dribbling_from_twin_teeth_marks_in_her_neck	86
nikolai_'s_lap_conscious_with_just_trace_from_twin_teeth_marks	87
mound_of_putrefying_limbs	88
which	89
drained	90
tie	91
bottles_.19	92
astringent_smell_of_bleach	93
your_right_hand	94
effort	95
his_office_entrance	96
blood_stains_on_his_fat_face	97
cutting_surface	98
straight_unit_dish_machine_with_stainless_steel_dish_table_on_side	99
potential_health_code_violations	100
book	101
sudden_crack	102
window_on_north_side	103
five_gallon_soup_cauldron	104
door_on_window	105
shards	106
later_ejected_from_chopper_at_velocity	107
nikolai_'s_lap_conscious_with_trace_of_blood_dribbling	108
its_proper_location	109
can_safely_grasped_without_aid_of_notepad	110
alert	111
balcony_sky_box	112
smell_of_flesh	113
broken_glass_.19_street	114
door_in_display	115
window_on_north_side_of_street	116
splashed_across_back_wall_certainly_nowhere_near_toilet	117
wide_enough	118
storm_gutter19th_street_east_a_street-front_window	119
nothing_of_interest_in_goldschmidt_'s_door	120
search	121
polyester_shirt	122
storm_drain_grate	123
may_people	124
made	125
you_want	126
note_of_potential_health_code_violations_in_your_trusty_notepad	127
street_window	128
momentary_blast_of_thunder	129
amber_liquid	130
cotton_bed_sheet	131
has_locked	132
their_force	133
concrete_extrusions	134
she_has_risen_nearly_to_ceiling	135
she_'s_about	136
go_back_to_restaurant_entrance	137
door_to_west	138
crib_.19_street_west_you	139
eye	140
upright	141
sifting_through_ice_in_rinse_basin	142
now_dry_remnants_of_dinner_specials	143
built	144
closed	145
her_bachelor_'s_degree	146
nikolai_'s_bar	147
clean_cotton_bed_sheet_draped	148
dimensions	149
cleaning_service	150
end_of_room	151
bar_sunlight	152
small_location	153
torso	154
cast	155
drained_entirely_of_blood	156
severed_right_foot_in_dish_machine	157
ukraine	158
he	159
wail_of_sirens	160
nothing_of_interest_in_other_cars	161
day	162
dinky_two_basin_sink	163
severed_foot_in_dish_machine	164
newspaper19th_street_east_a_street-front_window	165
arranged_display	166
clean_cotton_bed_sheet_draped_across_her_pelvis	167
cross_transylvanian_type_vampires	168
peach	169
finer_shards_.19	170
door_at_moment_.19	171
sifting	172
nikolai_'s_remains	173
grade_school	174
low_ceiling_tunnel	175
canvas	176
storm_gutter_.19	177
nikolai_'s_lap_scarcely_conscious_with_trace_from_teeth_marks_in_her_neck	178
except_that_in_concentrations_actually_toxic	179
state	180
nikolai_'s_lap_scarcely_conscious_with_trace_from_teeth_marks	181
fridge	182
bottles	183
eyes	184
nikolai_'s_lap_conscious_with_just_trace_from_teeth_marks	185
unisex_lavatory	186
sink	187
nothing_of_interest_.19	188
three_foot	189
old	190
blood	191
thorough	192
dish_room_warped_wooden_door	193
just_time_escape	194
certainly_hazard	195
sides	196
sale	197
your_tour	198
really_thorough_inspection	199
smoke	200
one_corner_of_twisting_labyrinth	201
bar19th_street_east_window	202
simplest_actions	203
sharp	204
dinky_two_basin_sink_with_attached_faucet	205
nauseous	206
reverse	207
held_in_place_by_screw	208
horror	209
attached_left_leg	210
given_territory	211
clich	212
your_choice	213
warning	214
bread	215
ground_meat	216
dismembered_parts	217
foot	218
otherwise_low_ceiling_tunnel	219
you_your_speed	220
now_remnants_of_long_dinner_specials	221
splashed_nowhere	222
office	223
yourself	224
rusted	225
whole_working_leg	226
painted	227
splashed_certainly_nowhere_near_toilet	228
display_of_merchandise	229
nikolai_'s_lap_conscious_with_trace_from_twin_teeth_marks	230
gutter	231
broken_glass_street	232
wide	233
pair	234
mutilated_corpse	235
excruciating_pain	236
crypt_edges	237
grill	238
pylons	239
green_awning_.19_street	240
stalagmites	241
blood_stains	242
smell_of_fresh_bleach	243
inches	244
hannibal_'s_exotic_revue	245
hazy_sun	246
nikolai_'s_lap_conscious_with_trace_of_blood_dribbling_from_twin_teeth_marks_in_her_neck	247
your_last_tour_through_dining_room	248
good	249
moment_later_ejected_at_velocity	250
sidewalk_.19_street_east_a_street-front_window	251
alley_brick_walls	252
situation_on_your_own	253
duct_tape	254
stained_clean_with_abrasive_oxidizing_solution	255
her_pelvis	256
him	257
nikolai_'s_desk	258
she_has_risen	259
sudden_crack_like_bone_breaking_in_reverse	260
they_are_pointing_directly_toward_you	261
them	262
two_basin_sink_with_faucet	263
your_car	264
nothing19th_street_east_a_street-front_window	265
sense	266
nikolai_'s_lap_conscious_with_just_trace_of_blood_dribbling_from_twin_teeth_marks_in_her_neck	267
whole_leg	268
nightly_aliquots_of_blood	269
you_want_into_bar	270
smell	271
stained_clean	272
note_of_potential_health_code_violations_in_your_notepad	273
through_enough	274
crack	275
tenements	276
bar_awakens	277
careful_examination	278
prep_table	279
nikolai_'s_lap_scarcely_conscious_with_just_trace_from_teeth_marks	280
bulb	281
hand_grenade	282
nikolai_'s_lap_scarcely_conscious_with_just_trace_of_blood_dribbling_from_teeth_marks_in_her_neck	283
nothing_of_interest_in_door	284
curb	285
smell_of_bleach	286
north_side_of_street	287
dominant_vampire	288
four_tops	289
formidable_buffalo_chopper	290
then_overcome_with_seizures	291
can_safely_grasped_without_aid_of_tie	292
look_of_contempt	293
overwhelmed	294
refrigerator_nikolai_'s_walk-in_refrigerator	295
gated	296
window_.19_street	297
mound_of_human_limbs	298
wire	299
sealed_tight	300
final_sanitation_rating	301
door_on_first_taking	302
seedier	303
fixed	304
door_in_window	305
her	306
grated_storm_drain	307
stereo_.19_street_east_street-front_window	308
freshly_attached_leg	309
none	310
***_nikolai_'s_bar	311
personal	312
daybreak	313
neon_sign	314
visits	315
right_end	316
center	317
curb-side_storm_gutter	318
bleach	319
angela_'s_body	320
go_back	321
sleeping_woman	322
can_grasped_without_aid	323
looking	324
nikolai_'s_lap	325
can_safely_grasped_without_aid_of_newspaper	326
restaurant_area	327
dark_pool	328
stereo	329
homeless_wench	330
newspaper	331
left_end_of_prep_table	332
territory	333
notebook	334
two_basin_sink_with_attached_faucet	335
lore_of_vampires	336
even_seedier	337
storm_drain19th_street_east_a_street-front_window	338
cork_dance_floor	339
rinse_basin	340
hannibal	341
coven_of_vampires	342
inspection	343
large_rat	344
right_leg_wriggles_snakelike	345
glass_.19_street	346
office_loft	347
plastic_pitcher	348
several_feet_above_dining_room_tables	349
wall_high_above	350
first_target	351
foot_festering_in_bottom_of_cauldron	352
baby_'s_crib	353
more	354
hazard	355
leg_wriggles_snakelike_into_location_below_woman_'s_torso	356
door	357
display_of_hocked_merchandise	358
then_overcome	359
holes	360
treacherous_steps	361
metal_walls	362
nearby	363
staircase	364
embarrassed	365
answer_from_you	366
open	367
may_people_inside	368
transylvanians	369
two_chapter_titles	370
nothing_unexpected_in_direction	371
severed_right_foot	372
front_door	373
sewer	374
nikolai_'s_lap_scarcely_conscious_with_trace_from_twin_teeth_marks_in_her_neck	375
dry_remnants_of_ago_dinner_specials	376
worn	377
her_arm	378
inspected	379
nothing19th_street_east_street-front_window	380
your_arm_free	381
rag_doll	382
your_arm_free_from_buffalo_chopper	383
servingware	384
door_with_west	385
unit_dish_machine_with_stainless_steel_dish_table_on_side	386
written	387
black_spray_paint	388
you_read	389
window_on_north_side_of_19th_street	390
nothing_noteworthy_about_goldschmidt_'s	391
ill-maintained_balcony_sky_box_above_his_restaurant	392
purple	393
remnants_of_dinner_specials	394
my_name	395
newspaper_.19_street_east_a_street-front_window	396
adult_female	397
chapter_titles	398
puzzled	399
nikolai_'s_lap_conscious_with_trace_of_blood_dribbling_from_teeth_marks_in_her_neck	400
straight	401
something_more_substantial	402
rush_of_endorphins	403
excitement	404
severed_hand	405
exit	406
her_coffin	407
lavatory_low_ceiling_restroom	408
angela	409
wheezing_from_effort	410
its_location	411
nobody	412
stereo_street_east_street-front_window	413
degrees	414
bar_stool	415
severed	416
nikolai_'s_lap_conscious_with_trace_of_blood_dribbling_from_twin_teeth_marks	417
now_remnants	418
kept	419
charged	420
wet_cardboard_boxes	421
examination	422
window_on_side_of_19th_street	423
my_strained_relationship_with_nikolai	424
neat_display	425
linoleum_bar	426
saxophone	427
broken	428
nothing_of_interest_in_front_door	429
