	0
low_smoky_hills	1
while	2
well_concealed_acrimony_beneath_surface	3
tired	4
components	5
spell_book	6
exit_to_northwest	7
rest	8
are_becoming_quite_hungry.	9
deserted_village	10
exit_to_northeast	11
nitfol	12
belboz_returning	13
are_at_a_fork_in_the_road_where_paths_to_the_northwest_and_southwest_girdle_the_base_of_the_Lonely_Mountain_and_a_smaller	14
moon	15
hear_a_rustling_in_the_brambles_nearby,_and_you_catch_a_glimpse_of_something_small_and_furry_as_it_scurries_away.	16
are_beginning_to_feel_faint_from_lack_of_water.	17
set	18
you_snore_blissfully	19
of_a_spell_of_great_healing_power._The_other_members_of_the_Circle_are_pleased_to_see_you_revived,_but_worried_by_the	20
Long_Road	21
what	22
are_beginning_to_tire.	23
strange_dream	24
rustling_in_brambles	25
contents	26
dream	27
look_at_the_object	28
belboz_returning_to_contents_of_manuscript	29
tire	30
You_have_died_****	31
waning_moon	32
lips_are_parched._If_you_don't_get_a_drink_soon_you_will_pass_out.	33
look	34
quite_thirsty	35
debate	36
exit_to_south	37
"I_think_Krill_is_too_powerful,"_says_one._"This_inexperienced_wizard_will_never_defeat_one_so_puissant_as_he."_Quiet	38
smoky_hills	39
stomach_is_starting_to_grumble.	40
your_sleep	41
worn_sign	42
well_concealed_acrimony	43
you_good	44
drink	45
are_becoming_quite_thirsty.	46
exit_to_up	47
blorb	48
acrimony	49
oppressive	50
disturbed	51
they	52
providing_light_fork	53
mountain	54
frotz	55
members_of_circle	56
belboz_returning_to_contents	57
set_in_west	58
lack_of_water	59
belboz_necromancer	60
lack	61
concealed_acrimony	62
rustling	63
box	64
long_road	65
sickly_yellow_light_bright_enough	66
you	67
components_of_spell	68
belboz_returning_frequently_to_contents_of_ancient_manuscript	69
its_place	70
glowing_strong_box	71
quiet_discussion	72
lands	73
grumble	74
do	75
place	76
book	77
contents_of_manuscript	78
fork	79
awaken_among_the_members_of_the_Circle._Belboz_the_Necromancer_looks_tired,_and_scattered_about_are_the_remains_of_the	80
castle	81
concealed_acrimony_beneath_surface	82
exit_to_southeast	83
krill	84
other_members	85
point_of_decision_on_road	86
send_you_back....	87
faint	88
glimpse_of_something_small	89
village	90
you_snore	91
exit_to_east	92
stars	93
parched	94
lit	95
after_while_disturbed_by_dream	96
darkened_place	97
are_very_thirsty_now._You'd_better_have_a_drink_soon.	98
something_small	99
clear_dark_sky	100
hungry	101
sun	102
exit_to_west	103
contents_of_ancient_manuscript	104
spell	105
ensues,_with_well-concealed_acrimony_beneath_the_surface.	106
forest	107
low_hills	108
ground	109
your_cloak	110
spells	111
blorb_spell	112
now_off	113
strong	114
glimpse_of_something	115
necromancer	116
open	117
set_behind_lonely_mountain_in_west	118
gnusto_spell	119
belboz_returning_frequently_to_contents_of_manuscript	120
east	121
set_behind_lonely_mountain	122
things	123
are_very_hungry_now._You'd_better_have_something_to_eat.	124
lonely_mountain	125
sight	126
members	127
face	128
circling	129
sign	130
belboz_returning_to_contents_of_ancient_manuscript	131
Fork	132
belboz_returning_frequently	133
remains	134
time	135
lighter	136
discussion	137
sun_has_now_risen_above_the_hills.	138
object	139
air	140
hand	141
glowing_box	142
rather_dry	143
components_of_spell_of_great_healing_power	144
your_lips	145
components_of_spell_of_healing_power	146
path	147
very_thirsty_now	148
sky	149
darkening_sky_is_lit_by_a_waning_moon.	150
very_hungry_now	151
off	152
nitfol_spell	153
forests	154
faint_from_lack_of_water	155
scattered	156
brambles	157
road	158
one	159
ensues,_with_Belboz_returning_frequently_to_the_contents_of_the_ancient_manuscript._His_wishes_prevail,_and_it_is_agreed	160
exit_to_southwest	161
dark_sky	162
base_of_lonely_mountain	163
glimpse	164
bramble	165
dry	166
worn	167
your_mind	168
acrimony_beneath_surface	169
quite_hungry	170
fork_in_road	171
your_mouth	172
frotz_spell	173
feel	174
hills	175
sleep	176
pass_out_from_lack_of_water_and_die.	177
road_here	178
mouth_is_getting_rather_dry.	179
thirsty	180
the_object	181
base	182
road_where	183
darkening_sky	184
point_of_decision	185
point	186
gnusto	187
setback	188
clear_sky	189
gaze	190
exit_to_north	191
something	192
belboz	193
exit_to_down	194
faint_from_lack	195
your_powers	196
belboz_returning_frequently_to_contents	197
winds_its_way_to_the_east.	198
spell_book_(providing_light)	199
release	200
your_stomach	201
strong_box	202
after_while_disturbed_by_strange_dream	203
west	204
sun_starts_to_set_behind_the_Lonely_Mountain_in_the_west.	205
